DTXSID,CASRN,MOLECULAR FORMULA,MONOISOTOPIC MASS,HIT CALL,PXR_Emax,PXR_assay
DTXSID0022436,126-00-1,C17H18O4,286.120509,Inactive,0,0
DTXSID0022480,620-17-7,C8H10O,122.073165,Inactive,0,0
DTXSID0022519,59-30-3,C19H19N7O6,441.139681,Inactive,0,0
DTXSID0022563,54965-21-8,C12H15N3O2S,265.088498,Active,60.90096983,1.591886843
DTXSID0022640,78110-38-0,C13H17N5O8S2,435.051855,Inactive,0,0
DTXSID0022644,302-40-9,C20H25NO3,327.183444,Inactive,0,0
DTXSID0022646,2179-37-5,C19H31NO,289.240565,Active,32.87051188,0.857850034
DTXSID0022690,10457-90-6,C21H23BrFNO2,419.08962,Active,28.93284871,1.461741521
DTXSID0022725,139481-59-7,C24H20N6O3,440.159689,Inactive,0,0
DTXSID0022777,169590-42-5,C17H14F3N3O2S,381.075882,Active,115.523153,0.910361623
DTXSID0022800,58-94-6,C7H6ClN3O4S2,294.948826,Inactive,0,0
DTXSID0022808,50-53-3,C17H19ClN2S,318.095748,Inactive,0,0
DTXSID0022850,10389-73-8,C10H14ClN,183.081477,Inactive,0,0
DTXSID0022854,24166-13-0,C17H14Cl2N2O2,348.043233,Active,61.04216148,0.910880045
DTXSID0022858,1950/4/4,C23H30O6,402.204239,Inactive,0,0
DTXSID0022933,71-63-6,C41H64O13,764.434692,Inactive,0,0
DTXSID0022935,484-23-1,C8H10N6,190.096694,Inactive,0,0
DTXSID0022981,38957-41-4,C11H17N3O3,239.126991,Inactive,0,0
DTXSID0023030,40054-69-1,C17H15ClN4S,342.070595,Active,98.27373669,1.033686317
DTXSID0023036,54350-48-0,C23H30O3,354.219495,Active,34.24372249,1.033686317
DTXSID0023038,104227-87-4,C14H19N5O4,321.143704,Inactive,0,0
DTXSID0023113,1990/5/1,C7H8O2,124.052429,Inactive,0,0
DTXSID0023163,73334-07-3,C18H24I3N3O8,790.86975,Inactive,0,0
DTXSID0023169,138402-11-6,C25H28N6O,428.23246,Inactive,0,0
DTXSID0023240,60-40-2,C11H21N,167.1674,Inactive,0,0
DTXSID0023244,6284-40-8,C7H17NO5,195.110673,Inactive,0,0
DTXSID0023292,93-30-1,C11H17NO,179.131014,Inactive,0,0
DTXSID0023296,61-73-4,C16H18ClN3S,319.090997,Active,22.9513236,2.627272717
DTXSID0023298,3575-80-2,C16H22FNO,263.168542,Inactive,0,0
DTXSID0023323,72432-03-2,C8H17NO5,207.110673,Inactive,0,0
DTXSID0023329,68693-11-8,C15H15NO2S,273.08235,Inactive,0,0
DTXSID0023371,63675-72-9,C20H24N2O6,388.163437,Active,59.13419898,1.933077462
DTXSID0023373,39562-70-4,C18H20N2O6,360.132136,Active,120.2360299,1.611562527
DTXSID0023377,24526-64-5,C16H18N2,238.146999,Active,36.65471176,0.71158397
DTXSID0023458,59-96-1,C18H22ClNO,303.138992,Active,37.25479802,1.033686317
DTXSID0023581,79902-63-9,C25H38O5,418.271924,Active,52.53894298,1.316180395
DTXSID0023587,68367-52-2,C11H9FN2O3,236.05972,Inactive,0,0
DTXSID0023612,127-79-7,C11H12N4O2S,264.068097,Inactive,0,0
DTXSID0023616,3772-76-7,C12H14N4O3S,294.078662,Inactive,0,0
DTXSID0023618,57-96-5,C23H20N2O3S,404.119464,Active,161.8635826,0.90069326
DTXSID0023660,82-99-5,C20H25NOS,327.165686,Active,45.08237626,1.033686317
DTXSID0023745,58-86-6,C5H10O5,150.052823,Inactive,0,0
DTXSID0023747,7481-89-2,C9H13N3O3,211.095691,Inactive,0,0
DTXSID0023749,139110-80-8,C12H20N4O7,332.133199,Inactive,0,0
DTXSID0023826,4098-71-9,C12H18N2O2,222.136828,Inactive,0,0
DTXSID0023870,504-24-5,C5H6N2,94.053098,Inactive,0,0
DTXSID0023878,120-12-7,C14H10,178.07825,Active,79.69692545,1.074871971
DTXSID0023901,25057-89-0,C10H12N2O3S,240.056863,Inactive,0,0
DTXSID0023907,205-99-2,C20H12,252.0939,Active,54.34699774,1.242083602
DTXSID0023909,207-08-9,C20H12,252.0939,Active,59.35764652,1.885287
DTXSID0023951,5234-68-4,C12H13NO2S,235.0667,Active,71.24903029,0.955768249
DTXSID0023955,90982-32-4,C15H15ClN4O6S,414.040083,Inactive,0,0
DTXSID0024000,1861-32-1,C10H6Cl4O4,329.902019,Active,48.89086523,0.792641186
DTXSID0024002,39515-41-8,C22H23NO3,349.167794,Active,68.09637697,1.554281426
DTXSID0024052,55290-64-7,C6H10O4S2,210.002051,Inactive,0,0
DTXSID0024183,96-33-3,C4H6O2,86.036779,Inactive,0,0
DTXSID0024185,79-22-1,C2H3ClO2,93.982157,Inactive,0,0
DTXSID0024216,1929-82-4,C6H3Cl4N,228.90196,Inactive,0,0
DTXSID0024266,29232-93-7,C11H20N3O3PS,305.0963,Active,28.2142458,1.271383101
DTXSID0024341,26471-62-5,C9H6N2O2,174.042927,Inactive,0,0
DTXSID0024345,82097-50-5,C14H16ClN5O5S,401.056067,Inactive,0,0
DTXSID0024395,108-24-7,C4H6O3,102.031694,Inactive,0,0
DTXSID0024397,102-01-2,C10H11NO2,177.078979,Active,52.19849318,0.585035789
DTXSID0024399,513-86-0,C4H8O2,88.052429,Inactive,0,0
DTXSID0024470,19952-47-7,C7H5ClN2S,183.986197,Active,158.5337574,0.757150564
DTXSID0024474,88-23-3,C6H6ClNO4S,222.970607,Inactive,0,0
DTXSID0024478,29927-08-0,C9H10N2S,178.05647,Active,167.2461943,1.177599609
DTXSID0024501,130-17-6,C14H12N2O3S2,320.028935,Active,57.92226991,2.0145237
DTXSID0024503,52253-69-7,C9H11BrN2OS,273.977547,Active,165.8134553,0.799877811
DTXSID0024505,504-29-0,C5H6N2,94.053098,Inactive,0,0
DTXSID0024507,6201-87-2,C7H7NO6S,232.999408,Inactive,0,0
DTXSID0024509,29676-71-9,C5H6N2O2S,158.014999,Inactive,0,0
DTXSID0024553,123-77-3,C2H4N4O2,116.033425,Inactive,0,0
DTXSID0024555,495-48-7,C12H10N2O,198.079313,Active,44.85835388,0.92776811
DTXSID0024559,532-82-1,C12H13ClN4,248.082874,Active,62.68653012,2.297811842
DTXSID0024638,2052/7/5,C12H9Br,231.988763,Inactive,0,0
DTXSID0024715,1306-19-0,CdO,129.89828,Inactive,0,0
DTXSID0024761,108-42-9,C6H6ClN,127.018877,Inactive,0,0
DTXSID0024840,1277-43-6,C10H10Co,189.011444,Inactive,0,0
DTXSID0024890,1197-01-9,C10H14O,150.104465,Inactive,0,0
DTXSID0024896,2008-39-1,C10H13Cl2NO3,265.027249,Inactive,0,0
DTXSID0024921,1761-71-3,C13H26N2,210.209599,Inactive,0,0
DTXSID0024923,1187-42-4,C4H4N4,108.043596,Inactive,0,0
DTXSID0024971,6287-38-3,C7H4Cl2O,173.96392,Inactive,0,0
DTXSID0024977,50-84-0,C7H4Cl2O2,189.958835,Inactive,0,0
DTXSID0024979,50-30-6,C7H4Cl2O2,189.958835,Inactive,0,0
DTXSID0025070,147-47-7,C12H15N,173.120449,Active,30.22688437,0.67605214
DTXSID0025074,89-86-1,C7H6O4,154.026609,Inactive,0,0
DTXSID0025076,81-55-0,C14H6N2O8,330.012415,Inactive,0,0
