CASRN,DTXSID,Name,Formula,PPARg_Emax,PPARg_assay,LXR_Emax,LXR_assay,FXR_Emax,FXR_assay,PXR_Emax,PXR_assay,BCF,LogP,Predicted concentration in human blood (μM),
79-19-6,DTXSID9021346,Thiosemicarbazide,CH5N3S,0,0,0,0,101.7446168,0.583969544,47.5075445,1.039342996, ,-2.50561,3.14E-05,
79-20-9,DTXSID4021767,Methyl acetate,C3H6O2,0,0,,,0,0,0,0,1.56675,0.179503,3.66E-06,
79-21-0,DTXSID1025853,Peracetic acid,C2H4O3,,,,,,,,, ,-0.874968,0.00203,
79-22-1,DTXSID0024185,Methyl chlorocarbonate,C2H3ClO2,0,0,,,0,0,0,0,2.4322,0.0887957,0.0051,
79-24-3,DTXSID8020969,Nitroethane,C2H5NO2,0,0,0,0,0,0,0,0, ,0.169328,0.000205,
79-27-6,DTXSID1026083,"1,1,2,2-Tetrabromoethane",C2H2Br4,0,0,,,0,0,0,0,17.8649,3.42182,0.000612,
79-29-8,DTXSID9025112,"2,3-Dimethylbutane",C6H14,0,0,,,0,0,0,0,130.317,3.42098,8.48E-06,
79-31-2,DTXSID4021636,2-Methylpropanoic acid,C4H8O2,0,0,,,0,0,0,0,0.984011,0.940635,0.0031,
79-34-5,DTXSID7021318,"1,1,2,2-Tetrachloroethane",C2H2Cl4,0,0,,,0,0,0,0,15.5239,2.50469,4.25E-05,
79-36-7,DTXSID6024965,Dichloroacetyl chloride,C2HCl3O,0,0,,,0,0,0,0, ,1.43112,0.000478,
79-39-0,DTXSID8029600,Methacrylamide,C4H7NO,0,0,0,0,0,0,0,0,0.625173,-1.10791,0.00335,
79-40-3,DTXSID3020546,Dithiooxamide,C2H4N2S2,0,0,,,0,0,0,0, ,0.0397379,0.00284,
79-43-6,DTXSID2020428,Dichloroacetic acid,C2H2Cl2O2,0,0,0,0,0,0,0,0,0.895365,0.918987,0.00237,
79-44-7,DTXSID1020512,Dimethylcarbamoyl chloride,C3H6ClNO,0,0,0,0,0,0,0,0, ,-0.363663,0.000202,
79-69-6,DTXSID4047042,alpha-Irone,C14H22O,0,0,0,0,0,0,111.619676,0.914453231,59.5662,4.38339,4.79E-05,
79-74-3,DTXSID5044992,"2,5-Bis(2-methylbutan-2-yl)benzene-1,4-diol",C16H26O2,0,0,1.004797281,1.596617749,0,0,108.7187143,0.837073306,442.588,4.91095,0.0022,
79-78-7,DTXSID4047591,Allyl Ionone,C16H24O,0,0,1.308153128,0.27508135,0,0,98.22310821,1.033969642,45.9198,4.917,0.00161,
79-92-5,DTXSID8026488,Camphene,C10H16,0,0,0,0,0,0,0,0,540.754,4.21778,0.00228,
79-94-7,DTXSID1026081,"3,3',5,5'-Tetrabromobisphenol A",C15H12Br4O2,0,0,1.080329442,1.442151716,37.77793678,0.297289461,330.385875,0.643130212,246.037,6.66284,0.00301,
79-95-8,DTXSID3021770,"2,2',6,6'-Tetrachlorobisphenol A",C15H12Cl4O2,37.32540108,2.236956725,1.422456772,0.997657813,36.88651479,0.359383607,175.1950757,0.865950602,1076.47,7.15065,0.00123,
79-97-0,DTXSID8047890,"3,3'-Dimethylbisphenol A",C17H20O2,0,0,0.852463694,1.516020456,31.25493749,0.440583296,176.8240416,0.723635825,230.144,3.87165,0.000166,
80-00-2,DTXSID9042259,4-Chlorophenyl phenyl sulfone,C12H9ClO2S,0,0,,,0,0,59.16785628,0.778413812,88.1049,2.19264,0.00239,
5/7/1980,DTXSID7020182,Bisphenol A,C15H16O2,0,0,1.382582122,1.022098297,0,0,249.4563423,1.025195691,117.22,3.32044,0.00193,
6/8/1980,DTXSID7040283,Chlorfenethol,C14H12Cl2O,0,0,,,0,0,62.47906785,1.002460303,544.503,4.11957,5.86E-05,
7/9/1980,DTXSID9024986,"4,4'-Dichlorodiphenyl sulfone",C12H8Cl2O2S,0,0,0.642499221,1.199859277,0,0,73.43382769,0.765681072,158.855,3.3139,0.000815,
9/1/1980,DTXSID3022409,"4,4'-Sulfonyldiphenol",C12H10O4S,0,0,0,0,0,0,26.14309782,0.620830536,8.37529,-0.10338,0.00369,
80-15-9,DTXSID3024869,Cumene hydroperoxide,C9H12O2,0,0,0,0,0,0,0,0, ,2.43531,2.91E-05,
80-30-8,DTXSID1024885,N-Cyclohexyl-4-methylbenzenesulfonamide,C13H19NO2S,0,0,,,0,0,105.9153402,0.841227559,12.4165,2.76502,0.000245,
80-32-0,DTXSID9045265,Sulfachloropyridazine,C10H9ClN4O2S,0,0,,,0,0,0,0,4.87528,1.55903,0.00241,
80-33-1,DTXSID5020310,Chlorfenson,C12H8Cl2O3S,0,0,0.923018394,1.044124039,0,0,58.58259472,0.778413812, ,4.23322,0.00417,
