CASRN,DTXSID,Name,Formula,PPARg_Emax,PPARg_assay,LXR_Emax,LXR_assay,FXR_Emax,FXR_assay,PXR_Emax,PXR_assay,BCF,LogP,Predicted concentration in human blood (μM),
2062-78-4,DTXSID8023474,"1-(1-(4,4-bis(4-fluorophenyl)butyl)-4-piperidinyl)-1,3-dihydro-2H-Benzimidazol-2-one",C28H29F2N3O,0,0,1.312423192,1.71917912,54.19470561,0.497940009,0,0,107.399,6.29977,0.000163,
2062-84-2,DTXSID7045364,Benperidol,C22H24FN3O2,0,0,,,0,0,47.29855546,1.180602286,17.0608,3.90067,0.00311,
2082-81-7,DTXSID4044870,"Butane-1,4-diyl bis(2-methylprop-2-enoate)",C12H18O4,0,0,0,0,0,0,0,0, ,2.35991,2.84E-05,
124-09-4,DTXSID5024922,"1,6-Hexanediamine",C6H16N2,0,0,0,0,0,0,0,0,1.77419,0.121053,2.10E-05,
9/8/2104,DTXSID9039238,2-Amino-4-(p-nitrophenyl)thiazole,C9H7N3O2S,0,0,,,0,0,67.3195013,1.319444237,19.5434,2.37844,0.000148,
2104-64-5,DTXSID7022174,EPN,C14H14NO4PS,0,0,0.733232662,1.145649566,0,0,37.29525889,1.348827354,95.0605,4.77624,0.000386,
2104-96-3,DTXSID1041683,Bromofos,C8H8BrCl2O3PS,0,0,,,0,0,0,0,402.717,5.21004,0.000924,
2113-57-7,DTXSID5024639,3-Bromobiphenyl,C12H9Br,0,0,,,0,0,30.90528416,0.778413812,647.143,4.85125,3.72E-05,
11/6/2114,DTXSID1051856,Allyl carbamate,C4H7NO2,,,0,0,,,0,0,1.0666,-1.12922,0.00171,
2122-86-3,DTXSID5020948,"5-(5-Nitro-2-furyl)-1,3,4-oxadiazole-2-ol",C6H3N3O5,0,0,0,0,0,0,0,0,27.9254,0.985542,0.00231,
2135-17-3,DTXSID2045365,Flumethasone,C22H28F2O5,0,0,,,0,0,34.85949181,1.49567895,8.55067,1.9399,0.00361,
2152-44-5,DTXSID7022673,Betamethasone valerate,C27H37FO6,0,0,,,0,0,124.6725513,0.869245049,11.749,3.60319,0.000194,
2156-96-9,DTXSID9044873,Decyl prop-2-enoate,C13H24O2,0,0,0,0,0,0,0,0, ,5.08566,0.000255,
2163-00-0,DTXSID9044409,"1,6-Dichlorohexane",C6H12Cl2,0,0,0,0,0,0,0,0,39.9945,4.21228,7.60E-06,
9/2/2164,DTXSID2020424,Chloranocryl,C10H9Cl2NO,0,0,0,0,0,0,94.51301439,0.742027201,29.7852,3.57543,0.00157,
2164-17-2,DTXSID8020628,Fluometuron,C10H11F3N2O,0,0,0,0,0,0,0,0,28.774,2.42095,6.96E-05,
2165-19-7,DTXSID3046166,Guanoxan,C10H13N3O2,,,,,,,,,3.33426,0.0190483,0.000291,
2169-64-4,DTXSID1022635,6-Azaribine,C14H17N3O9,0,0,,,0,0,0,0, ,-0.200648,0.00027,
2176-62-7,DTXSID2022179,Pentachloropyridine,C5Cl5N,0,0,0,0,0,0,0,0,1312.2,3.5316,0.0027,
2179-57-9,DTXSID9035206,Diallyl disulfide,C6H10S2,0,0,,,0,0,0,0,17.378,2.76722,0.00408,
2179-59-1,DTXSID8024448,Allyl propyl disulfide,C6H12S2,0,0,,,0,0,0,0,31.4775,2.93657,0.00159,
2206-89-5,DTXSID8024783,2-Chloroethyl acrylate,C5H7ClO2,0,0,,,0,0,0,0, ,1.65895,0.00011,
2210-25-5,DTXSID0033754,N-Isopropylacrylamide,C6H11NO,0,0,,,0,0,0,0,2.09894,0.486924,0.00167,
2210-79-9,DTXSID8024862,o-Cresyl glycidyl ether,C10H12O2,0,0,,,0,0,0,0,44.2588,2.22116,0.000325,
2212-67-1,DTXSID6024206,Molinate,C9H17NOS,0,0,0,0,0,0,0,0, ,3.2091,0.00195,
2213-63-0,DTXSID1025013,"2,3-Dichloroquinoxaline",C8H4Cl2N2,0,0,,,0,0,0,0,108.643,2.60174,0.00412,
2216-51-5,DTXSID1022180,"(1R,2S,5R)-(-)-Menthol",C10H20O,0,0,0,0,0,0,0,0,26.2422,3.34258,0.00294,
2219-82-1,DTXSID4047468,2-tert-Butyl-6-methylphenol,C11H16O,0,0,0,0,0,0,30.62449804,0.625888038,169.434,3.48327,0.00116,
2224-15-9,DTXSID4044876,Ethylene glycol diglycidyl ether,C8H14O4,0,0,,,0,0,32.86932507,0.571188724,5.67545,-0.0698936,2.49E-05,
2227-13-6,DTXSID5020314,Tetrasul,C12H6Cl4S,0,0,0,0,0,0,0,0, ,6.67159,0.00331,
2231-57-4,DTXSID7027461,Thiocarbazide,CH6N4S,0,0,0,0,0,0,37.15598348,0.665440323, ,-1.04838,6.36E-05,
6419-19-8,DTXSID2027624,Aminotrimethylene phosphonic acid,C3H12NO9P3,0,0,,,0,0,0,0, ,-3.5292,0.0016,
2243-61-0,DTXSID6025696,"1,4-Naphthalenediamine",C10H10N2,49.82938708,1.33770723,,,40.83890062,0.28018066,39.45961617,1.752811526,7.62079,1.32382,4.19E-06,
2243-62-1,DTXSID3020916,"1,5-Naphthalenediamine",C10H10N2,0,0,0,0,0,0,24.01301889,1.272726739,8.18465,0.892768,0.00112,
2244-16-8,DTXSID8020256,d-Carvone,C10H14O,0,0,0,0,0,0,0,0,4.62381,2.36204,0.00156,
2782-57-2,DTXSID8024993,"Dichloro-1,3,5-triazinetrione",C3HCl2N3O3,0,0,0,0,0,0,0,0, ,0.357116,0.000133,
9/2/2257,DTXSID5021120,Phenethyl isothiocyanate,C9H9NS,0,0,,,63.55128515,0.226481566,355.9827384,0.724941942, ,3.46753,0.00152,
2275-14-1,DTXSID3042269,Phenkapton,C11H15Cl2O2PS3,0,0,0,0,0,0,0,0,244.906,5.44207,0.00447,
5/7/2305,DTXSID7047190,gamma-Dodecalactone,C12H22O2,0,0,0,0,0,0,56.86309115,0.778413812, ,3.53329,4.79E-05,
2312-73-4,DTXSID8038801,N-Benzyl-9-(tetrahydro-2H-pyran-2-yl)adenine,C17H19N5O,0,0,0,0,0,0,255.1810453,1.0061473,21.4783,2.93911,0.00406,
94-10-0,DTXSID5046223,Ethoxazene,C14H16N4O,,,,,,,,,11.6145,2.77345,0.000636,
2315-68-6,DTXSID4044878,Propyl benzoate,C10H12O2,0,0,,,0,0,0,0,12.0226,3.00521,1.19E-05,
7/5/2321,DTXSID0038887,Fluorescein,C20H12O5,358.3651411,1.155107297,0,0,313.6356335,0.57320168,111.0026048,1.436217254,38.9942, ,0.000208,
2/8/2327,DTXSID2041468,"3,4-Dichlorophenylurea",C7H6Cl2N2O,0,0,,,0,0,51.58211341,0.682913857,6.1235,2.64803,0.000275,
7/7/2349,DTXSID2047519,Hexyl isobutyrate,C10H20O2,0,0,0,0,0,0,0,0,52.36,3.98306,0.00199,
2358-84-1,DTXSID8044882,Di(ethylene glycol) dimethacrylate,C12H18O5,0,0,0,0,0,0,0,0, ,1.40051,0.000771,
2365-48-2,DTXSID0033673,Methyl thioglycolate,C3H6O2S,0,0,,,0,0,0,0, ,0.231402,0.00128,
2381-21-7,DTXSID0025654,1-Methylpyrene,C17H12,0,0,,,0,0,38.03963547,0.778413812,526.017,5.47454,0.00263,
2385-85-5,DTXSID7020895,Mirex,C10Cl12,0,0,0,0,0,0,0,0, ,6.88879,0.00392,
2386-87-0,DTXSID2027466,ECC,C14H20O4,0,0,0,0,0,0,0,0, ,1.80275,6.10E-05,
2398-37-0,DTXSID4044618,1-Bromo-3-methoxybenzene,C7H7BrO,0,0,,,0,0,0,0,62.5173,3.03,2.14E-05,
2398-81-4,DTXSID2046543,Nicotinic acid 1-oxide,C6H5NO3,0,0,,,0,0,0,0, ,-0.307365,2.46E-05,
2402-78-0,DTXSID2051895,"2,6-Dichloropyridine",C5H3Cl2N,,,0,0,,,0,0,87.2971,2.14941,0.00468,
2402-79-1,DTXSID7027467,"2,3,5,6-Tetrachloropyridine",C5HCl4N,0,0,,,0,0,0,0,855.067,3.32132,0.00289,
2404-44-6,DTXSID4025242,"1,2-Epoxydecane",C10H20O,0,0,,,0,0,0,0,84.918,4.81204,6.48E-05,
2409-55-4,DTXSID2020212,4-Methyl-2-tert-butylphenol,C11H16O,0,0,1.846757447,0.541725857,0,0,0,0,160.694,3.43254,0.00261,
2416-94-6,DTXSID6022187,"2,3,6-Trimethylphenol",C9H12O,0,0,0,0,0,0,0,0,16.3682,2.67106,0.000207,
6/1/2425,DTXSID4020242,Captafol,C10H9Cl4NO2S,65.33278603,2.835247037,0,0,44.70865446,1.714789871,24.72044866,1.448375862,11.8304,3.79851,0.00389,
2425-54-9,DTXSID1027471,1-Chlorotetradecane,C14H29Cl,0,0,,,0,0,0,0,182.81,7.2456,0.00246,
2425-79-8,DTXSID7024667,"1,4-Butanediol diglycidyl ether",C10H18O4,0,0,,,0,0,0,0,24.0991,0.600171,0.000227,
8/6/2426,DTXSID9024691,Butyl glycidyl ether,C7H14O2,0,0,0,0,0,0,0,0,11.9674,0.630557,0.000632,
2426-54-2,DTXSID4051900,2-(Diethylamino)ethyl acrylate,C9H17NO2,,,0,0,,,0,0, ,1.1148,0.00377,
2436-90-0,DTXSID8029234,Dihydromyrcene,C10H18,0,0,,,0,0,0,0,862.979,4.82326,8.10E-05,
2437-25-4,DTXSID1022188,n-Undecyl cyanide,C12H23N,0,0,1.413816843,0.389634481,0,0,0,0,64.4169,4.0738,0.000133,
2437-56-1,DTXSID3029235,1-Tridecene,C13H26,0,0,,,0,0,0,0,277.332,5.83861,0.0032,
98-55-5,DTXSID5026625,alpha-Terpineol,C10H18O,0,0,,,0,0,0,0,20.96,2.98107,0.000528,
1/2/2439,DTXSID2032342,Chinomethionate,C10H6N2OS2,,,1.913608253,1.143785849,,,0,0, ,3.7738,0.000123,
2439-35-2,DTXSID5025100,2-(Dimethylamino)ethyl acrylate,C7H13NO2,0,0,,,0,0,0,0, ,0.0188148,0.00178,
2440-22-4,DTXSID1027479,2-(2H-Benzotriazol-2-yl)-4-methylphenol,C13H11N3O,0,0,0,0,0,0,144.0114434,0.829501655,42.462,4.30517,0.000141,
2447-57-6,DTXSID6023608,Sulfadoxine,C12H14N4O4S,0,0,,,0,0,0,0,2.21309,0.700765,0.00134,
2451-62-9,DTXSID4026262,"Tris(2,3-epoxypropyl)isocyanurate",C12H15N3O6,0,0,0.718633851,1.245685087,43.69119564,0.358018817,45.64443508,1.219459068, ,-0.203115,0.00245,
2455-24-5,DTXSID0022191,Tetrahydrofurfuryl methacrylate,C9H14O3,0,0,0,0,0,0,0,0, ,1.23608,0.000107,
10/1/2459,DTXSID8044620,"Trimethyl benzene-1,2,4-tricarboxylate",C12H12O6,0,0,0,0,0,0,0,0,2.86418,1.5901,0.00164,
2460-77-7,DTXSID3044889,"2,5-Di-tert-butylcyclohexa-2,5-diene-1,4-dione",C14H20O2,,,1.004156193,0.913534817,,,62.03924844,1.033686317,94.6237,4.26254,0.000106,
2461-15-6,DTXSID6025301,2-Ethylhexyl glycidyl ether,C11H22O2,0,0,0,0,0,0,0,0,97.2747,3.17952,0.000196,
2461-18-9,DTXSID0025494,Dodecyl glycidyl ether,C15H30O2,0,0,,,0,0,0,0,109.144,4.8478,0.00338,
2463-84-5,DTXSID0041850,Dicapthon,C8H9ClNO5PS,0,0,,,0,0,0,0,67.7642,3.57579,3.55E-05,
2473-01-0,DTXSID3049255,1-Chlorononane,C9H19Cl,0,0,,,0,0,0,0,147.911,5.22224,8.38E-05,
2479-46-1,DTXSID8051914,"1,3-Phenylenedi(4-aminophenyl ether)",C18H16N2O2,,,0,0,,,0,0,57.0164,3.55958,0.00211,
2481-94-9,DTXSID8041745,C.I. Solvent Yellow 56,C16H19N3,,,0,0,,,67.1878228,2.306997542,81.2831,3.67201,4.04E-05,
2489-77-2,DTXSID6021404,"1,1,3-Trimethyl-2-thiourea",C4H10N2S,0,0,0,0,0,0,0,0,1.01158,0.0991254,6.07E-06,
2493-84-7,DTXSID1025807,4-Octyloxybenzoic acid,C15H22O3,38.29427281,1.220743038,,,0,0,116.2208133,0.688958144,17.7011,4.13121,0.00479,
2495-25-2,DTXSID8029236,Tridecyl methacrylate,C17H32O2,0,0,,,0,0,0,0, ,6.75113,0.00681,
2495-37-6,DTXSID0022193,Benzyl methacrylate,C11H12O2,0,0,0,0,0,0,0,0, ,2.5312,0.000804,
6/5/2497,DTXSID8041901,Disulfoton sulfone,C8H19O4PS3,,,0,0,,,0,0,16.0325,1.87031,6.86E-05,
2497-21-4,DTXSID4047670,4-Hexen-3-one,C6H10O,0,0,,,0,0,46.06928458,1.330764329,3.80189,1.01369,9.49E-05,
2499-59-4,DTXSID8044624,Octyl prop-2-enoate,C11H20O2,0,0,,,0,0,0,0, ,4.19927,0.00302,
2499-95-8,DTXSID5022194,Hexyl acrylate,C9H16O2,0,0,0,0,0,0,0,0, ,3.32797,0.000514,
2510-55-6,DTXSID8049256,9-Cyanophenanthrene,C15H9N,0,0,,,0,0,77.24783907,0.678400836,100.693,4.59456,0.00463,
2517-43-3,DTXSID0044812,3-Methoxybutan-1-ol,C5H12O2,0,0,0,0,0,0,0,0,1.60325,0.282905,0.00236,
2524-03-0,DTXSID0027486,Dimethyl chlorothiophosphate,C2H6ClO2PS,0,0,,,0,0,0,0,4.31519,0.988753,0.00133,
4/1/2524,DTXSID5027487,"O,O-Diethyl chlorothiophosphate",C4H10ClO2PS,0,0,,,0,0,0,0,8.05378,1.56677,4.71E-05,
2531-84-2,DTXSID1025649,2-Methylphenanthrene,C15H12,0,0,,,0,0,101.9955141,0.814364714,369.828,4.87412,0.00155,
2545-59-7,DTXSID3041328,"2,4,5-T-butotyl",C14H17Cl3O4,0,0,,,0,0,0,0,164.437,4.6971,4.80E-05,
2550-26-7,DTXSID6033241,Benzylacetone,C10H12O,0,0,0,0,0,0,0,0,13.366,2.38062,9.74E-05,
2550-40-5,DTXSID4047628,Dicyclohexyl disulfide,C12H22S2,0,0,0,0,0,0,0,0,162.93,4.7383,0.00276,
2579-20-6,DTXSID4041238,"1,3-Cyclohexanedimethanamine",C8H18N2,0,0,0,0,0,0,0,0,3.06902,0.947859,0.000174,
4/7/2588,DTXSID6042282,Phorate sulfone,C7H17O4PS3,,,0,0,,,67.11995664,0.778413812,12.1339,1.98973,0.00137,
2591-86-8,DTXSID8043941,N-Formylpiperidine,C6H11NO,0,0,0,0,0,0,0,0,1.52757,-0.320062,0.00158,
2593-15-9,DTXSID3032547,Etridiazole,C5H5Cl3N2OS,0,0,0,0,0,0,0,0, ,3.36811,0.000508,
2595-54-2,DTXSID0042117,Mecarbam,C10H20NO5PS2,0,0,,,0,0,57.74330359,1.072448953,4.50817,2.42379,0.00267,
3/7/2597,DTXSID6042280,Phenthoate,C12H17O4PS2,0,0,0,0,0,0,29.55685949,1.480817076,35.8922,3.69016,0.00219,
2623-33-8,DTXSID2046256,Diacetamate,C10H11NO3,,,,,,,,,1.39637,0.926871,0.00409,
2627-69-2,DTXSID5046015,Acadesine,C9H14N4O5,0,0,,,0,0,0,0,0.0271644,-1.57156,0.00184,
2631-37-0,DTXSID4037617,Promecarb,C12H17NO2,0,0,,,0,0,29.0304422,0.778413812,6.74528,3.0966,0.000152,
2631-40-5,DTXSID6042072,Isoprocarb,C11H15NO2,0,0,,,0,0,26.74682314,0.828268001,4.85288,2.31367,0.00086,
2634-33-5,DTXSID5032523,"1,2-Benzisothiazolin-3-one",C7H5NOS,0,0,0,0,0,0,0,0,3.43558,0.803321,0.00122,
2639-63-6,DTXSID8047559,Hexyl butyrate,C10H20O2,0,0,0,0,0,0,0,0,41.4,3.9683,0.00522,
2642-71-9,DTXSID5037498,Azinphos-ethyl,C12H16N3O3PS2,0,0,0.760897971,0.709971108,0,0,134.1389825,1.593962347,12.7644,3.39808,0.00278,
2642-82-2,DTXSID5041308,"2,2-Bis(4-chlorophenyl)ethanol",C14H12Cl2O,0,0,1.720864581,0.814976036,0,0,57.0476368,0.778413812,263.633,4.20697,0.00149,
2645-07-0,DTXSID8025759,4-Nitrohippuric acid,C9H8N2O5,0,0,,,0,0,0,0,0.32961,0.547301,0.00169,
2664-60-0,DTXSID9047883,Dodecylparaben,C19H30O3,0,0,,,0,0,82.69659661,0.917813602,27.9254,6.417,0.00132,
2664-63-3,DTXSID9047960,"4,4'-Thiodiphenol",C12H10O2S,0,0,,,0,0,203.1710119,0.703867494, ,3.34019,9.61E-05,
2675-77-6,DTXSID2024793,Chloroneb,C8H8Cl2O2,0,0,0,0,0,0,0,0,543.25,3.15959,0.00199,
3/7/2680,DTXSID0051944,"N,N-Dimethylacrylamide",C5H9NO,,,0,0,,,0,0,1.07895,-0.261142,0.00287,
2687-25-4,DTXSID4027494,"2,3-Diaminotoluene",C7H10N2,0,0,0,0,0,0,112.9513187,0.827854178,3.45939,0.33521,2.44E-05,
2687-91-4,DTXSID3044413,1-Ethyl-2-pyrrolidinone,C6H11NO,0,0,0,0,0,0,0,0,1.80717,-0.0421373,0.0029,
2693-46-1,DTXSID2049260,3-Aminofluoranthene,C16H11N,843.709038,1.240235115,,,985.9874171,0.653610655,154.4846897,0.813226299,69.3426,4.20213,0.00155,
2705-87-5,DTXSID8044755,Prop-2-en-1-yl 3-cyclohexylpropanoate,C12H20O2,0,0,0,0,0,0,0,0,24.4906,4.0207,0.00533,
4/8/2735,DTXSID7043829,"2,4-Dimethoxyaniline",C8H11NO2,0,0,,,0,0,0,0,6.66807,1.27601,0.000159,
2759-71-9,DTXSID3041827,Cypromid,C10H9Cl2NO,0,0,,,0,0,46.76665023,0.879245053,34.6737,3.72584,0.00315,
2778-42-9,DTXSID4027498,"1,3-Bis(2-isocyanato-2-propyl)benzene",C14H16N2O2,0,0,0,0,0,0,151.3300497,1.352509141, ,2.45747,0.00246,
11/5/2781,DTXSID2029242,"Diethyl (N,N-bis(2-hydroxyethyl)amino)methanephosphonate",C9H22NO5P,0,0,0,0,0,0,0,0,0.874984,-0.719575,0.00185,
2785-87-7,DTXSID2047199,2-Methoxy-4-propylphenol,C10H14O2,0,0,0.907765398,1.015677086,0,0,0,0,32.1366,2.64798,6.58E-05,
2807-30-9,DTXSID1027500,2-Propoxyethanol,C5H12O2,0,0,0,0,0,0,0,0,2.08449,0.32186,6.15E-05,
2814-20-2,DTXSID1027502,2-Isopropyl-6-methyl-4-pyrimidone,C8H12N2O,0,0,0,0,0,0,0,0,2.14289,0.550087,3.59E-05,
2832-40-8,DTXSID6021450,C.I. Disperse Yellow 3,C15H15N3O2,,,0,0,,,99.97814938,1.458591592,4.29536,2.74882,0.00154,
2835-39-4,DTXSID4039233,Allyl isovalerate,C8H14O2,0,0,0,0,0,0,0,0,15.1356,2.55995,0.00527,
2835-95-2,DTXSID9024489,5-Amino-2-methylphenol,C7H9NO,0,0,0,0,0,0,29.81875808,0.682502877,4.35512,0.767646,7.99E-05,
2835-99-6,DTXSID2049262,4-Amino-m-cresol,C7H9NO,0,0,,,0,0,79.39354246,0.606988106,7.36207,1.28662,0.00383,
2855-13-2,DTXSID6027503,Isophorone diamine,C10H22N2,0,0,0,0,0,0,47.13106185,0.869732541,8.8308,2.00747,0.00182,
2855-19-8,DTXSID9025243,"1,2-Epoxydodecane",C12H24O,0,0,0.710891804,0.541725857,0,0,0,0,121.339,5.50825,0.00148,
2859-67-8,DTXSID5022198,3-(3-Pyridyl)-1-propanol,C8H11NO,,,0,0,,,0,0,3.2961,0.599472,3.86E-05,
2867-47-2,DTXSID1027504,2-(Dimethylamino)ethyl methacrylate,C8H15NO2,0,0,0,0,0,0,0,0, ,0.147363,0.00204,
2873-97-4,DTXSID1024916,Diacetone acrylamide,C9H15NO2,0,0,0,0,0,0,0,0,1.18577,0.795068,0.00103,
2876-78-0,DTXSID2042143,Methyl 1-naphthaleneacetate,C13H12O2,0,0,0,0,0,0,0,0,20.4644,3.28229,0.00113,
2892-51-5,DTXSID9049409,Squaric acid,C4H2O4,0,0,,,0,0,0,0,1.15878,-0.353399,0.00234,
2898-13-7,DTXSID1046267,Sulazepam,C16H13ClN2S,0,0,,,0,0,181.5660108,1.021602647, ,3.17123,0.000527,
2905-65-9,DTXSID6027507,Methyl 3-chlorobenzoate,C8H7ClO2,0,0,,,0,0,0,0,24.8313,2.84803,0.00292,
2917-73-9,DTXSID5044815,Dibutyl azelate,C17H32O4,0,0,0,0,0,0,0,0,20.9411,5.15441,0.00549,
5/6/2934,DTXSID7042273,"2,4-Diisopropylphenol",C12H18O,0,0,0,0,0,0,0,0,139.637,3.89538,6.47E-05,
2935-90-2,DTXSID6027509,Methyl 3-mercaptopropionate,C4H8O2S,0,0,,,0,0,0,0, ,0.364982,0.00166,
2941-55-1,DTXSID6041925,Ethiolate,C7H15NOS,0,0,,,0,0,0,0,12.5603,1.79017,0.00147,
2941-64-2,DTXSID6025278,S-Ethyl chlorothioformic acid,C3H5ClOS,0,0,,,0,0,0,0, ,1.20277,0.000933,
2948-46-1,DTXSID7029247,"1,4-Bis(2-hydroxy-2-propyl)benzene",C12H18O2,0,0,,,0,0,0,0,82.2243,2.79642,0.00231,
2971-90-6,DTXSID8041793,Clopidol,C7H7Cl2NO,0,0,,,0,0,0,0,18.4502,2.29346,0.000192,
3006-93-7,DTXSID3044415,"N,N'-1,3-Phenylenedimaleimide",C14H8N2O4,,,0,0,,,0,0,2.38232,1.21055,0.000838,
3012-37-1,DTXSID5020156,Benzyl thiocyanate,C8H7NS,0,0,,,0,0,0,0,19.1867,1.9907,0.000126,
3018-12-0,DTXSID3021562,Dichloroacetonitrile,C2HCl2N,0,0,,,0,0,0,0,3.8815,1.30195,0.000538,
3030-47-5,DTXSID7029249,"1,1,4,7,7-Pentamethyldiethylenetriamine",C9H23N3,0,0,,,0,0,0,0,2.89734,0.186638,0.000537,
3031-66-1,DTXSID3044910,"Hex-3-yne-2,5-diol",C6H10O2,77.33870282,0.824719279,0.955442992,0.705952661,62.17226011,0.218894278,74.62457055,1.023710827, ,0.17042,0.00303,
3033-62-3,DTXSID5027512,Bis[2-(dimethylamino)ethyl]ether,C8H20N2O,0,0,0,0,0,0,0,0,3.52371,0.248236,0.000127,
3048-64-4,DTXSID6029250,5-Vinyl-2-norbornene,C9H12,0,0,,,0,0,0,0,281.19,3.89669,0.00524,
3056-17-5,DTXSID1023819,Stavudine,C10H12N2O4,0,0,0,0,0,0,0,0,1.1995,-0.720437,0.00271,
3060-89-7,DTXSID6042157,Metobromuron,C9H11BrN2O2,0,0,,,0,0,85.88738258,0.812529339, ,2.37832,0.00014,
3068-00-6,DTXSID8044416,"1,2,4-Butanetriol",C4H10O3,,,0,0,,,0,0,0.831764,-1.10361,1.28E-05,
3068-88-0,DTXSID1020223,beta-Butyrolactone,C4H6O2,0,0,0,0,0,0,0,0, ,-0.277173,0.00173,
9/5/3094,DTXSID2022967,Doxifluridine,C9H11FN2O5,0,0,,,0,0,0,0, ,-0.815971,5.16E-05,
3101-60-8,DTXSID1024702,tert-Butyl phenyl glycidyl ether,C13H18O2,0,0,,,0,0,125.9203842,0.835578004,89.3306,3.16289,4.67E-05,
3113-71-1,DTXSID1025641,3-Methyl-4-nitrobenzoic acid,C8H7NO4,0,0,,,0,0,0,0,1.14288,2.41623,5.47E-05,
3118-97-6,DTXSID5040706,C.I. Solvent Orange 7,C18H16N2O,,,0,0,,,106.4539253,1.959975353,26.3633,4.44243,0.0029,
3120-74-9,DTXSID0051996,3-Methyl-4-(methylthio)phenol,C8H10OS,,,0,0,,,74.70074834,0.592505497,9.77237,2.45702,0.000116,
3132-64-7,DTXSID5025237,Epibromohydrin,C3H5BrO,0,0,,,0,0,0,0,4.98884,0.850218,8.55E-05,
3160-37-0,DTXSID7025926,Piperonal acetone,C11H10O3,0,0,,,87.68849729,0.253270058,96.01264198,0.591447397,5.30884,1.82017,0.00111,
2856-81-7,DTXSID1046186,Azabuperone,C17H23FN2O,,,,,,,,,32.2849,2.80112,0.00165,
3173-53-3,DTXSID8025464,Isocyanatocyclohexane,C7H11NO,0,0,,,0,0,38.65617868,1.18828346, ,1.29684,0.000487,
3173-72-6,DTXSID8040145,"1,5-Naphthalene diisocyanate",C12H6N2O2,,,0,0,,,,, ,2.53516,5.15E-05,
3179-47-3,DTXSID6024915,Decyl methacrylate,C14H26O2,0,0,,,0,0,0,0, ,5.37738,0.00202,
3188-00-9,DTXSID9047677,2-Methyltetrahydrofuran-3-one,C5H8O2,0,0,,,0,0,0,0,1.68655,0.276197,0.00097,
3194-55-6,DTXSID4027527,"1,2,5,6,9,10-Hexabromocyclododecane",C12H18Br6,0,0,0,0,0,0,104.9506869,0.778413812,96.1612,5.91694,0.00108,
3209-22-1,DTXSID8024997,"2,3-Dichloronitrobenzene",C6H3Cl2NO2,0,0,,,0,0,0,0,73.7904,3.0496,4.05E-05,
3234-28-4,DTXSID9025249,"1,2-Epoxytetradecane",C14H28O,0,0,,,0,0,0,0,151.705,6.18038,0.00175,
3252-43-5,DTXSID3024940,Dibromoacetonitrile,C2HBr2N,0,0,0,0,0,0,0,0,6.09537,2.01986,0.000183,
3268-49-3,DTXSID9027528,3-(Methylthio)propanal,C4H8OS,0,0,0,0,0,0,0,0, ,1.16763,0.0056,
3270-71-1,DTXSID6046399,Nifuraldezone,C7H6N4O5,0,0,,,0,0,0,0, ,0.0277714,2.85E-05,
3290-92-4,DTXSID3027530,Trimethylolpropane trimethacrylate,C18H26O6,0,0,0,0,0,0,0,0, ,4.38532,0.000185,
3296-90-0,DTXSID9020164,Pentaerythritol dibromide,C5H10Br2O2,0,0,0,0,0,0,0,0,3.57273,1.06095,0.00216,
3319-31-1,DTXSID9026265,Tris(2-ethylhexyl) trimellitate,C33H54O6,0,0,0,0,0,0,0,0,13.4896,7.97007,9.88E-05,
3322-93-8,DTXSID8024947,"1,2-Dibromo-4-(1,2-dibromoethyl)cyclohexane",C8H12Br4,0,0,,,0,0,112.6862464,0.701232441,133.968,5.1457,0.00295,
3333-52-6,DTXSID0026125,Tetramethylsuccinonitrile,C8H12N2,0,0,,,0,0,0,0,38.3707,1.70736,0.00125,
3337-71-1,DTXSID8023890,Asulam,C8H10N2O4S,0,0,0,0,0,0,0,0,0.879023,-0.267172,0.000409,
3347-22-6,DTXSID8040270,Dithianon,C14H4N2O2S2,0,0,,,81.87390657,0.381062285,0,0, ,2.83867,0.000358,
3352-87-2,DTXSID5044655,"N,N-Diethyldodecanamide",C16H33NO,0,0,,,0,0,80.05236638,0.61991778,25.9418,5.07009,0.00535,
3386-33-2,DTXSID3027536,Octadecyl chloride,C18H37Cl,0,0,,,0,0,0,0,336.512,9.23282,0.0019,
3391-86-4,DTXSID3035214,1-Octen-3-ol,C8H16O,0,0,0.791977239,0.976977254,0,0,0,0,11.298,2.38141,0.00153,
3397-62-4,DTXSID1037806,"6-Chloro-1,3,5-triazine-2,4-diamine",C3H4ClN5,0,0,0,0,0,0,0,0,1.65577,0.412903,0.000228,
3452-97-9,DTXSID7029661,"3,5,5-Trimethyl-1-hexanol",C9H20O,0,0,0,0,0,0,0,0,30.6196,3.07063,0.00534,
11/9/3468,DTXSID0044658,"1H-Isoindole-1,3(2H)-diimine",C8H7N3,43.05478367,0.895732393,1.033010508,0.541725857,0,0,279.6258668,1.061485795, ,0.70179,0.00524,
3485-14-1,DTXSID9022861,Cyclacillin,C15H23N3O4S,,,,,,,,,0.695024,1.30782,0.00019,
3508-00-7,DTXSID0049280,1-Bromoheptadecane,C17H35Br,0,0,,,0,0,0,0,84.3335,9.23257,0.00255,
3524-68-3,DTXSID2025842,Pentaerythritol triacrylate,C14H18O7,51.2250264,2.180761029,1.869218985,1.34558038,39.65006998,0.774644653,0,0, ,1.12,0.000195,
3547-33-9,DTXSID6032516,2-Hydroxyethyl octyl sulfide,C10H22OS,0,0,1.542468139,0.378826045,0,0,0,0,105.682,3.64275,0.000107,
