DTXSID,PREFERRED NAME,CASRN,MOLECULAR FORMULA,MONOISOTOPIC MASS,HIT CALL,LXR_Emax,LXR_assay
DTXSID0038839,2-Amino-5-nitrobenzonitrile,17420-30-3,C7H5N3O2,163.038176,Inactive,0,0
DTXSID0038881,C.I. Acid Orange 7,633-96-5,C16H11N2NaO4S,350.033722,Inactive,0,0
DTXSID0038887,Fluorescein,2321/7/5,C20H12O5,332.068473,Inactive,0,0
DTXSID0039223,Aldicarb,116-06-3,C7H14N2O2S,190.077599,Inactive,0,0
DTXSID0040127,"2,6-Diaminopyridine",141-86-6,C5H7N3,109.063997,Inactive,0,0
DTXSID0040674,Fluocinolone acetonide,67-73-2,C24H30F2O6,452.201045,Inactive,0,0
DTXSID0040701,Triethyl citrate,77-93-0,C12H20O7,276.120903,Inactive,0,0
DTXSID0040703,4-tert-Butylbenzoic acid,98-73-7,C11H14O2,178.09938,Inactive,0,0
DTXSID0040707,4-Pentylaniline,33228-44-3,C11H17N,163.1361,Inactive,0,0
DTXSID0040751,N-(9-Fluorenylmethoxycarbonyl)-L-leucine,35661-60-0,C21H23NO4,353.162708,Inactive,0,0
DTXSID0040755,Fenoxaprop-(2S)-ethyl,113776-20-8,C18H16ClNO5,361.0717,Inactive,0,0
DTXSID0041141,o-(Chloroacetylcarbamoyl)fumagillol,129298-91-5,C19H28ClNO6,401.160515,Active,1.039995921,1.548515016
DTXSID0041197,(Z)-Hexadec-9-enoic acid,373-49-9,C16H30O2,254.22458,Active,0.788967664,1.093020789
DTXSID0041220,"cis-1,2,3,6-Tetrahydrophthalimide",1469-48-3,C8H9NO2,151.063329,Inactive,0,0
DTXSID0041224,"1,2,6-Hexanetriol",106-69-4,C6H14O3,134.094294,Inactive,0,0
DTXSID0041270,"3,5,5-Trimethylhexyl acetate",58430-94-7,C11H22O2,186.16198,Inactive,0,0
DTXSID0041274,"1-Phenyl-1H-pyrrole-2,5-dione",941-69-5,C10H7NO2,173.047678,Inactive,0,0
DTXSID0041357,"Ethyl (2E,4Z)-deca-2,4-dienoate",3025-30-7,C12H20O2,196.14633,Active,2.219250166,0.789585288
DTXSID0041359,"2,4-Dichloro-3,5-dimethylphenol",133-53-9,C8H8Cl2O,189.99522,Inactive,0,0
DTXSID0041436,2-Methyl-2-butanol,75-85-4,C5H12O,88.088815,Inactive,0,0
DTXSID0041484,(3Z)-3-Hexenyl acetate,3681-71-8,C8H14O2,142.09938,Inactive,0,0
DTXSID0041513,4-Chloropyridine 1-oxide,1121-76-2,C5H4ClNO,128.998142,Inactive,0,0
DTXSID0041517,"4-Hydroxy-2,5-dimethyl-3(2H)furanone",3658-77-3,C6H8O3,128.047344,Inactive,0,0
DTXSID0041519,4-Methyl-3-heptanol,14979-39-6,C8H18O,130.135765,Inactive,0,0
DTXSID0041567,"(9Z,12R)-12-Hydroxyoctadec-9-enoic acid",141-22-0,C18H34O3,298.250795,Active,1.815780998,0.669191916
DTXSID0041646,"C.I. Acid Yellow 34, monosodium salt",6359-90-6,C16H12ClN4NaO4S,414.016548,Inactive,0,0
DTXSID0041692,Dimethyl acetylsuccinate,10420-33-4,C8H12O5,188.068473,Inactive,0,0
DTXSID0041721,C.I. Acid Yellow 3 disodium salt,8004-92-0,, ,Inactive,0,0
DTXSID0041981,2-Fluoroacetic acid,144-49-0,C2H3FO2,78.011707,Inactive,0,0
DTXSID0041983,Fluoroglycofen-ethyl,77501-90-7,C18H13ClF3NO7,447.033264,Active,0.770243689,1.051375507
DTXSID0041985,Fluorosalan,4776/6/1,C14H8Br2F3NO2,436.887389,Active,1.408764179,0.974086591
DTXSID0042038,Heptyl butyrate,5870-93-9,C11H22O2,186.16198,Inactive,0,0
DTXSID0042086,Laurocapram,59227-89-3,C18H35NO,281.271865,Active,0.883969698,1.264780986
