DTXSID,PREFERRED NAME,CASRN,MOLECULAR FORMULA,MONOISOTOPIC MASS,HIT CALL,LXR_Emax,LXR_assay
DTXSID2041703,Butylnaphthalenesulfonic acid sodium salt,25638-17-9,, ,Inactive,0,0
DTXSID2041709,"C.I. Acid Orange 8, monosodium salt",5850-86-2,C17H13N2NaO4S,364.049372,Inactive,0,0
DTXSID2041759,Quaternium 17,124-03-8,C20H44BrN,377.265713,Active,0.974402751,1.719509873
DTXSID2042060,Isoborneol,124-76-5,C10H18O,154.135765,Inactive,0,0
DTXSID2042062,Isobornyl propanoate,2756-56-1,C13H22O2,210.16198,Inactive,0,0
DTXSID2042143,Methyl 1-naphthaleneacetate,2876-78-0,C13H12O2,200.08373,Inactive,0,0
DTXSID2042191,"N,N'-Dimethylthiourea",534-13-4,C3H8N2S,104.040819,Inactive,0,0
DTXSID2042199,N-Chlorosuccinimide,128-09-6,C4H4ClNO2,132.993056,Inactive,0,0
DTXSID2042276,o-Ethoxyphenol,94-71-3,C8H10O2,138.06808,Inactive,0,0
DTXSID2042436,Sulisobenzone,4065-45-6,C14H12O6S,308.035459,Inactive,0,0
DTXSID2043903,"2,3-Dihydroxynaphthalene",92-44-4,C10H8O2,160.052429,Inactive,0,0
DTXSID20440585,1-(Perfluorohexyl)octane,133331-77-8,C14H17F13,432.112267,Inactive,0,0
DTXSID2044268,Cetirizine hydrochloride (1:2),83881-52-1,C21H27Cl3N2O3,460.108726,Inactive,0,0
DTXSID2044347,4'-Methoxyacetophenone,100-06-1,C9H10O2,150.06808,Inactive,0,0
DTXSID2044391,2-Isopropylphenol,88-69-7,C9H12O,136.088815,Inactive,0,0
DTXSID2044395,1-Bromododecane,143-15-7,C12H25Br,248.113964,Active,0.75487322,0.860851963
DTXSID2044428,3-Mercaptopropyltrimethoxysilane,4420-74-0,C6H16O3SSi,196.058942,Inactive,0,0
DTXSID2044470,1-Phenylpropan-1-one,93-55-0,C9H10O,134.073165,Inactive,0,0
DTXSID2044472,Diethyl oxalate,95-92-1,C6H10O4,146.057909,Inactive,0,0
DTXSID2044476,(S)-(-)-Citronellal,5949/5/3,C10H18O,154.135765,Inactive,0,0
DTXSID2044503,C.I. Disperse Yellow 64,10319-14-9,C18H10BrNO3,366.984406,Inactive,0,0
DTXSID2044507,Maprotiline hydrochloride,10347-81-6,C20H24ClN,313.159727,Active,1.018334496,1.541725857
DTXSID2044509,"3,4,5,6-Tetrachloropyridine-2-carboxylic acid",10469-09-7,C6HCl4NO2,258.876139,Inactive,0,0
DTXSID2044553,Sodium 2-methylbenzenesulfonate,15046-75-0,C7H7NaO3S,194.00136,Inactive,0,0
DTXSID2044713,Acid Red 337,67786-14-5,C17H11F3N3NaO4S,433.032006,Inactive,0,0
DTXSID2044717,Dimethoxy(diphenyl)silane,6843-66-9,C14H16O2Si,244.091956,Inactive,0,0
DTXSID2044719,"Dipropyl 3,4,5,6-tetrachlorobenzene-1,2-dicarboxylate",6928-67-2,C14H14Cl4O4,385.96462,Active,2.465204482,1.095283409
DTXSID2044763,Parbenate,10287-53-3,C11H15NO2,193.110279,Inactive,0,0
DTXSID2044765,3-Phenylprop-2-en-1-yl acetate,103-54-8,C11H12O2,176.08373,Inactive,0,0
DTXSID2044767,2-(2-Pyridyl)ethanol,103-74-2,C7H9NO,123.068414,Inactive,0,0
DTXSID2044769,Cyclamen aldehyde,103-95-7,C13H18O,190.135765,Inactive,0,0
DTXSID2044846,4-Chloro-3-nitrobenzaldehyde,16588-34-4,C7H4ClNO3,184.987971,Active,0.893290271,0.843224368
DTXSID2044848,N-(Isobutoxymethyl)acrylamide,16669-59-3,C8H15NO2,157.110279,Inactive,0,0
DTXSID2044890,2-[(4-Hydroxyphenyl)methyl]phenol,2467-03-0,C13H12O2,200.08373,Inactive,0,0
DTXSID2044892,Diphenyl phosphorochloridate,2524-64-3,C12H10ClO3P,268.005609,Inactive,0,0
DTXSID2044896,"1,3,5-Tris[3-(trimethoxysilyl)propyl]-1,3,5-triazinane-2,4,6-trione",26115-70-8,C21H45N3O12Si3,615.231104,Inactive,0,0
DTXSID2044898,4-Ethenylphenyl acetate,2628-16-2,C10H10O2,162.06808,Inactive,0,0
DTXSID2044927,Bis(2-ethylhexyl) phosphonate,3658-48-8,C16H35O3P,306.232382,Inactive,0,0
DTXSID2044929,1-(Methylsulfanyl)dodecane,3698-89-3,C13H28S,216.191172,Inactive,0,0
DTXSID2044971,"2,2',2''-[Methanetriyltris(benzene-4,1-diyloxymethanediyl)]trioxirane",66072-38-6,C28H28O6,460.188589,Active,2.488442627,0.778906733
DTXSID2044973,Propan-2-yl 2-ethylhexanoate,67024-46-8,C11H22O2,186.16198,Inactive,0,0
DTXSID2045076,Chlortetracycline hydrochloride,64-72-2,C22H24Cl2N2O8,514.090971,Inactive,0,0
DTXSID2045232,Tiratricol,51-24-1,C14H9I3O4,621.76349,Inactive,0,0
DTXSID2047060,"1,3-Dimethoxybenzene",151-10-0,C8H10O2,138.06808,Inactive,0,0
DTXSID2047062,(E)-2-Hexen-1-ol,928-95-0,C6H12O,100.088815,Inactive,0,0
DTXSID2047066,"2,3-Hexanedione",3848-24-6,C6H10O2,114.06808,Inactive,0,0
DTXSID2047068,"cis-3,7-Dimethyl-2,6-octadien-1-yl acetate",141-12-8,C12H20O2,196.14633,Inactive,0,0
DTXSID2047141,Cyclopentadecanone,502-72-7,C15H28O,224.214016,Active,1.756210618,0.836408566
DTXSID2047145,"3,3-Dimethylacrylic acid",541-47-9,C5H8O2,100.052429,Inactive,0,0
DTXSID2047149,4-Isopropylcyclohexanol,4621/4/9,C9H18O,142.135765,Inactive,0,0
DTXSID2047191,Linalyl benzoate,126-64-7,C17H22O2,258.16198,Active,1.222382742,0.93118865
DTXSID2047193,Rhodinol,141-25-3,C10H20O,156.151415,Inactive,0,0
DTXSID2047195,p-Mentha-8-thiol-3-one,38462-22-5,C10H18OS,186.107836,Inactive,0,0
DTXSID2047197,Fenchyl acetate,13851-11-1,C12H20O2,196.14633,Inactive,0,0
DTXSID2047199,2-Methoxy-4-propylphenol,2785-87-7,C10H14O2,166.09938,Active,0.907765398,1.015677086
DTXSID2047222,Farnesyl acetate,29548-30-9,C17H28O2,264.20893,Active,1.064716407,0.997657813
DTXSID2047270,Besonprodil,253450-09-8,C21H23FN2O3S,402.141342,Inactive,0,0
DTXSID2047272,CJ-013610,249296-43-3,C23H27N3O5S2,489.139213,Inactive,0,0
DTXSID2047274,CP-114271,113734-18-2,C17H19F3N2O4S,404.101763,Inactive,0,0
DTXSID2047276,CP-409092,194098-25-4,C17H19N3O2,297.147727,Inactive,0,0
DTXSID2047278,CP-457677,214535-77-0,C22H21FN2O3,380.153621,Active,-0.644059706,3.2417446
DTXSID2047301,CP-456773,210826-40-7,C20H24N2O5S,404.140593,Inactive,0,0
DTXSID2047303,CJ-013790,179465-71-5,C18H17FN2O4,344.117235,Inactive,0,0
DTXSID2047305,CP-608039,NOCAS_47305,C23H25ClN8O5,528.163644,Inactive,0,0
DTXSID2047307,PD-0333941,501027-49-2,C23H22N2O4,390.157957,Active,0.778667595,1.24412918
DTXSID2047309,UK-156819,162706-14-1,C19H20N2O2,308.152478,Inactive,0,0
DTXSID2047351,SSR 240612,464930-42-5,C42H53ClN4O7S,792.332349,Inactive,0,0
DTXSID2047353,SSR 241586 HCl,NOCAS_47353,C32H43Cl3N4O3,636.240074,Inactive,0,0
DTXSID2047355,Trelanserin,189003-92-7,C24H24FN5O2S,465.163474,Inactive,0,0
DTXSID2047357,Surinabant,288104-79-0,C23H23BrCl2N4O,520.04323,Active,2.232184696,2.301368199
DTXSID2047359,"4-Bromophenyl 1,4-diazabicyclo(3.2.2)nonane-4-carboxylate",298198-52-4,C14H17BrN2O2,324.047341,Inactive,0,0
DTXSID2047434,Flurandrenolide,1524-88-5,C24H33FO6,436.226117,Inactive,0,0
DTXSID2047436,Glycocholic acid,475-31-0,C26H43NO6,465.309038,Inactive,0,0
DTXSID2047486,Methoxybenzyl alcohol,1331-81-3,, ,Inactive,0,0
DTXSID2047511,Ethyl hexadecanoate,628-97-7,C18H36O2,284.27153,Inactive,0,0
DTXSID2047517,"Hexanedioic acid, di-C7-9-branched and linear alkyl esters",68515-75-3,, ,Inactive,0,0
DTXSID2047519,Hexyl isobutyrate,2349/7/7,C10H20O2,172.14633,Inactive,0,0
DTXSID2047565,"1H,1H,2H,2H-Perfluorooctyl iodide",2043-57-4,C8H4F13I,473.91501,Inactive,0,0
DTXSID2047567,2-Phenylethyl 2-methylbutanoate,24817-51-4,C13H18O2,206.13068,Inactive,0,0
DTXSID2047642,Linalyl formate,115-99-1,C11H18O2,182.13068,Inactive,0,0
DTXSID2047644,Isoquinoline,119-65-3,C9H7N,129.057849,Inactive,0,0
DTXSID2047646,Isobutyl 3-phenylacrylate,122-67-8,C13H16O2,204.11503,Inactive,0,0
DTXSID2047648,3-Phenylpropyl acetate,122-72-5,C11H14O2,178.09938,Inactive,0,0
DTXSID2047696,Cremophor EL,61791-12-6,, ,Inactive,0,0
DTXSID2047721,Petitgrain oil,8014-17-3,, ,Inactive,0,0
DTXSID2047725,"2,2,2-Trichloro-1-phenylethyl acetate",90-17-5,C10H9Cl3O2,265.966813,Inactive,0,0
DTXSID2047727,2-Ethoxy-5-(1-propenyl)phenol,94-86-0,C11H14O2,178.09938,Inactive,0,0
DTXSID2048167,FR 409,138472-01-2,C8H13N3O4,215.090606,Inactive,0,0
DTXSID2050403,1-Ethyl-2-methylbenzene,611-14-3,C9H12,120.0939,Inactive,0,0
DTXSID2051477,4-Methylbenzyl chloride,104-82-5,C8H9Cl,140.039278,Inactive,0,0
DTXSID2051631,"1,2-Bis((chlorocarbonyl)oxy)ethane",124-05-0,C4H4Cl2O4,185.948664,Inactive,0,0
DTXSID2051687,4-Chlorobenzophenone,134-85-0,C13H9ClO,216.034193,Inactive,0,0
DTXSID2051716,2(1H)-Pyridinone,142-08-5,C5H5NO,95.037114,Inactive,0,0
DTXSID2051764,Diethyl pyrocarbonate,1609-47-8,C6H10O5,162.052823,Inactive,0,0
DTXSID2051895,"2,6-Dichloropyridine",2402-78-0,C5H3Cl2N,146.964255,Inactive,0,0
DTXSID2052281,"1,7-Dimethylxanthine",611-59-6,C7H8N4O2,180.064726,Inactive,0,0
DTXSID2052283,But-2-en-1-ol,6117-91-5,C4H8O,72.057515,Inactive,0,0
DTXSID2052289,2-Chlorobenzothiazole,615-20-3,C7H4ClNS,168.975298,Inactive,0,0
DTXSID2052310,4-Pyridinol,626-64-2,C5H5NO,95.037114,Inactive,0,0
DTXSID2052447,4-Chlorodiphenyl ether,7005-72-3,C12H9ClO,204.034193,Inactive,0,0
DTXSID2052574,"1,5-Dihydroxynaphthalene",83-56-7,C10H8O2,160.052429,Inactive,0,0
DTXSID2052603,"2,4-Dichlorobenzoyl chloride",89-75-8,C7H3Cl3O,207.924948,Inactive,0,0
DTXSID2052607,"2,6-Dimethoxyphenol",1991/10/1,C8H10O3,154.062994,Inactive,0,0
DTXSID2060965,Heptafluorobutyramide,662-50-0,C4H2F7NO,213.002461,Inactive,0,0
DTXSID20858868,EPAMED_Water_Set2-2,NOCAS_858868,, ,Inactive,0,0
DTXSID20858883,EPAMED_Water_Set2-17,NOCAS_858883,, ,Inactive,0,0
DTXSID20858888,EPAMED_Water_Set2-22,NOCAS_858888,, ,Inactive,0,0
DTXSID20858904,EPAMED_Water_Set2-38,NOCAS_858904,, ,Inactive,0,0
DTXSID20858909,EPAMED_Water_Set2-43,NOCAS_858909,, ,Inactive,0,0
DTXSID20861913,Perfluorobutanesulfonyl fluoride,375-72-4,C4F10O2S,301.945932,Inactive,0,0
DTXSID20872706,EPAMED_Water_Set3-1,NOCAS_872706,, ,Inactive,0,0
DTXSID20872721,EPAMED_Water_Set3-16,NOCAS_872721,, ,Inactive,0,0
DTXSID20872726,EPAMED_Water_Set3-21,NOCAS_872726,, ,Inactive,0,0
DTXSID20872741,EPAMED_Water_Set3-36,NOCAS_872741,, ,Inactive,0,0
DTXSID20872746,EPAMED_Water_Set3-41,NOCAS_872746,, ,Inactive,0,0
DTXSID20874028,"2H,2H,3H,3H-Perfluorooctanoic acid",914637-49-3,C8H5F11O2,342.011389,Inactive,0,0
DTXSID20880144,Ethyl pentafluoropropionyl acetate,663-35-4,C7H7F5O3,234.031535,Inactive,0,0
DTXSID20881338,3-Methoxyperfluoro(2-methylpentane),132182-92-4,C7H3F13O,349.997631,Inactive,0,0
DTXSID20903827,EPAMED_Water_Set4-3,NOCAS_903827,, ,Inactive,0,0
DTXSID20903842,EPAMED_Water_Set4-18,NOCAS_903842,, ,Inactive,0,0
DTXSID20903847,EPAMED_Water_Set4-23,NOCAS_903847,, ,Inactive,0,0
DTXSID20903862,EPAMED_Water_Set5-3,NOCAS_903862,, ,Inactive,0,0
DTXSID20903867,EPAMED_Water_Set5-8,NOCAS_903867,, ,Inactive,0,0
DTXSID20903882,EPAMED_Water_Set5-23,NOCAS_903882,, ,Inactive,0,0
DTXSID20903887,EPAMED_Water_Set5-28,NOCAS_903887,, ,Inactive,0,0
DTXSID301339558,AFFF Solberg F1 (0.5X) + F3 (0.5X),NOCAS_1339558,, ,Active,1.593949986,3.924351477
DTXSID301339560,AFFF Solberg H20 blank,NOCAS_1339560,, ,Inactive,0,0
DTXSID30170109,"3,3-Bis(trifluoromethyl)-2-propenoic acid",1763-28-6,C5H2F6O2,207.995898,Inactive,0,0
DTXSID30190948,"Perfluoro-1,4-diiodobutane",375-50-8,C4F8I2,453.79617,Inactive,0,0
DTXSID3020043,Allantoin,97-59-6,C4H6N4O3,158.04399,Inactive,0,0
DTXSID3020047,Allyl isothiocyanate,1957/6/7,C4H5NS,99.01427,Inactive,0,0
DTXSID3020091,Aniline hydrochloride,142-04-1,C6H8ClN,129.034527,Inactive,0,0
DTXSID3020093,p-Anisidinium chloride,20265-97-8,C7H10ClNO,159.045092,Inactive,0,0
DTXSID3020122,Azinphos-methyl,86-50-0,C10H12N3O3PS2,317.005771,Inactive,0,0
DTXSID3020205,Benzyl butyl phthalate,85-68-7,C19H20O4,312.136159,Inactive,0,0
DTXSID3020207,Dinoseb,88-85-7,C10H12N2O5,240.074621,Inactive,0,0
DTXSID3020209,Butylparaben,94-26-8,C11H14O3,194.094294,Inactive,0,0
DTXSID3020257,"1,?2-?Benzenediol",120-80-9,C6H6O2,110.036779,Inactive,0,0
DTXSID3020332,Citric acid,77-92-9,C6H8O7,192.027003,Inactive,0,0
DTXSID3020336,Clofibrate,637-07-0,C12H15ClO3,242.070972,Inactive,0,0
DTXSID3020415,"1,2-Dibromoethane",106-93-4,C2H4Br2,185.867976,Inactive,0,0
DTXSID3020465,Diethylstilbestrol,56-53-1,C18H20O2,268.14633,Active,0.881100648,2.03529153
DTXSID3020621,"(R,R)-Fenvalerate",67614-33-9,C25H22ClNO3,419.128821,Active,0.65557939,1.616533672
DTXSID3020625,Finasteride,98319-26-7,C23H36N2O2,372.277678,Inactive,0,0
DTXSID3020627,Fluconazole,86386-73-4,C13H12F2N6O,306.104065,Inactive,0,0
DTXSID3020629,"N-(2-Fluorenyl)-2,2,2-trifluoroacetamide",363-17-7,C15H10F3NO,277.071448,Inactive,0,0
DTXSID3020671,FD&C Green No. 1,4680-78-8,C37H35N2NaO6S2,690.183423,Inactive,0,0
DTXSID3020673,FD&C Green No. 3,2353-45-9,C37H34N2Na2O10S3,808.117097,Inactive,0,0
DTXSID3020679,Heptachlor,76-44-8,C10H5Cl7,369.821094,Active,2.412526182,0.93232348
DTXSID3020704,2-Hydrazino-4-(4-aminophenyl) thiazole,26049-71-8,C9H10N4S,206.062618,Inactive,0,0
DTXSID3020706,2-Hydrazino-4-(4-nitrophenyl)thiazole,26049-70-7,C9H8N4O2S,236.036797,Inactive,0,0
DTXSID3020881,4-(N-Methyl-N-nitrosamino)-1-(3-pyridyl)-1-butanone,64091-91-4,C10H13N3O2,207.100777,Inactive,0,0
DTXSID3020887,6-Methylquinoline,91-62-3,C10H9N,143.073499,Inactive,0,0
DTXSID3020889,4-Methylstyrene,622-97-9,C9H10,118.07825,Inactive,0,0
DTXSID3020910,Busulfan,55-98-1,C6H14O6S2,246.023181,Inactive,0,0
DTXSID3020912,Nalidixic acid,389-08-2,C12H12N2O3,232.084792,Inactive,0,0
DTXSID3020916,"1,5-Naphthalenediamine",2243-62-1,C10H10N2,158.084398,Inactive,0,0
DTXSID3020918,"N,N'-Di-2-naphthyl-p-phenylenediamine",93-46-9,C26H20N2,360.162649,Inactive,0,0
DTXSID3020960,5-Nitroacenaphthene,602-87-9,C12H9NO2,199.063329,Inactive,0,0
DTXSID3020962,1-Methoxy-2-nitrobenzene,91-23-6,C7H7NO3,153.042593,Inactive,0,0
DTXSID3020964,Nitrobenzene,98-95-3,C6H5NO2,123.032028,Inactive,0,0
DTXSID3020966,4-Nitrobenzoic acid,62-23-7,C7H5NO4,167.021858,Inactive,0,0
DTXSID3021142,(-)-Phenylephrine hydrochloride,61-76-7,C9H14ClNO2,203.071306,Inactive,0,0
DTXSID3021190,Procarbazine hydrochloride,366-70-1,C12H20ClN3O,257.12949,Inactive,0,0
DTXSID3021192,Promethazine hydrochloride,58-33-3,C17H21ClN2S,320.111398,Active,0.846295333,0.997657813
DTXSID3021196,"2,4-Bis(isopropylamino)-6-chloro-1,3,5-triazine",139-40-2,C9H16ClN5,229.109423,Inactive,0,0
DTXSID3021275,Sodium diethyldithiocarbamate trihydrate,20624-25-3,C5H16NNaO3S2,225.04693,Inactive,0,0
DTXSID3021277,"2E,4E-Hexadienoic acid",110-44-1,C6H8O2,112.052429,Inactive,0,0
DTXSID3021356,dl-alpha-Tocopheryl acetate,52225-20-4,C31H52O3,472.391646,Inactive,0,0
DTXSID3021358,Tolazamide,1156-19-0,C14H21N3O3S,311.130363,Inactive,0,0
DTXSID3021483,Phenylacetaldehyde,122-78-1,C8H8O,120.057515,Inactive,0,0
DTXSID3021485,"1,3-Benzenedicarboxylic acid",121-91-5,C8H6O4,166.026609,Inactive,0,0
DTXSID3021487,"1,2,4-Benzenetricarboxylic acid",528-44-9,C9H6O6,210.016438,Inactive,0,0
DTXSID3021516,Methyl ethyl ketone,78-93-3,C4H8O,72.057515,Inactive,0,0
DTXSID3021518,Fumaric acid,110-17-8,C4H4O4,116.010959,Inactive,0,0
DTXSID3021641,Nonanoic acid,112-05-0,C9H18O2,158.13068,Inactive,0,0
DTXSID3021643,Octanal,124-13-0,C8H16O,128.120115,Inactive,0,0
DTXSID3021645,Octanoic acid,124-07-2,C8H16O2,144.11503,Inactive,0,0
DTXSID3021726,Salicylamide,65-45-2,C7H7NO2,137.047678,Inactive,0,0
DTXSID3021770,"2,2',6,6'-Tetrachlorobisphenol A",79-95-8,C15H12Cl4O2,363.95914,Active,1.422456772,0.997657813
DTXSID3021774,Acenaphthene,83-32-9,C12H10,154.07825,Inactive,0,0
DTXSID3021778,Diphenyl phthalate,84-62-8,C20H14O4,318.089209,Active,1.032576476,0.541725857
DTXSID3021801,2-(N-Ethyl-m-toluidino)ethanol,91-88-3,C11H17NO,179.131014,Inactive,0,0
DTXSID3021805,Piperine,94-62-2,C17H19NO3,285.136493,Active,1.159321129,0.659796062
DTXSID3021807,o-Xylene,95-47-6,C8H10,106.07825,Inactive,0,0
DTXSID3021851,2-Methyl-4-phenylbutan-2-ol,103-05-9,C11H16O,164.120115,Inactive,0,0
DTXSID3021853,1-Piperazineethanol,103-76-4,C6H14N2O,130.110613,Inactive,0,0
DTXSID3021932,Diethanolamine,111-42-2,C4H11NO2,105.078979,Inactive,0,0
DTXSID3021936,Hexanedinitrile,111-69-3,C6H8N2,108.068748,Inactive,0,0
DTXSID3021938,1-Bromooctane,111-83-1,C8H17Br,192.051364,Inactive,0,0
DTXSID3021980,Ethyl hexanoate,123-66-0,C8H16O2,144.11503,Inactive,0,0
DTXSID3021982,Butyl acetate,123-86-4,C6H12O2,116.08373,Inactive,0,0
DTXSID3021984,1-Dodecanamine,124-22-1,C12H27N,185.21435,Active,0.799348419,1.541725857
DTXSID3021986,Tributyl phosphate,126-73-8,C12H27O4P,266.164696,Active,1.316938907,0.67284781
DTXSID3022035,[(1S)-endo]-(-)-Borneol,464-45-9,C10H18O,154.135765,Inactive,0,0
DTXSID3022085,Methyl p-nitrobenzoate,619-50-1,C8H7NO4,181.037508,Inactive,0,0
DTXSID3022162,Bromoxynil,1689-84-5,C7H3Br2NO,274.85814,Inactive,0,0
DTXSID3022164,2-Allylphenol,1745-81-9,C9H10O,134.073165,Inactive,0,0
DTXSID3022247,Nerolidol,7212-44-4,C15H26O,222.198365,Inactive,0,0
DTXSID3022320,Triphenylethylene,58-72-0,C20H16,256.125201,Active,0.695269217,0.758300524
DTXSID3022370,Progesterone,57-83-0,C21H30O2,314.22458,Inactive,0,0
DTXSID3022405,2-Hydroxy-4-methoxybenzophenone,131-57-7,C14H12O3,228.078644,Active,2.013090431,0.461704356
DTXSID3022409,"4,4'-Sulfonyldiphenol",1980/9/1,C12H10O4S,250.02998,Inactive,0,0
DTXSID3022455,Dimethyl phthalate,131-11-3,C10H10O4,194.057909,Inactive,0,0
DTXSID3022536,4-Cumylphenol,599-64-4,C15H16O,212.120115,Active,1.845800516,1.205907278
DTXSID3022588,Aminopterin,54-62-6,C19H20N8O5,440.155666,Inactive,0,0
DTXSID3022667,Betamethasone,378-44-9,C22H29FO5,392.199902,Active,1.223447387,0.270701106
DTXSID3022798,Chlormezanone,80-77-3,C11H12ClNO3S,273.022642,Inactive,0,0
DTXSID3022877,Cytarabine,147-94-4,C9H13N3O5,243.085521,Inactive,0,0
DTXSID3023471,Physostigmine,57-47-6,C15H21N3O2,275.163377,Inactive,0,0
DTXSID3023556,Retinol,68-26-8,C20H30O,286.229666,Active,2.407047201,0.702026464
DTXSID3023685,Tolcapone,134308-13-7,C14H11NO5,273.063722,Inactive,0,0
DTXSID3023764,Benzo[e]pyrene,192-97-2,C20H12,252.0939,Inactive,0,0
DTXSID3023845,Acenaphthylene,208-96-8,C12H8,152.0626,Inactive,0,0
DTXSID3023897,Triadimefon,43121-43-3,C14H16ClN3O2,293.093104,Inactive,0,0
DTXSID3023899,Benfluralin,1861-40-1,C13H16F3N3O4,335.10929,Inactive,0,0
DTXSID3023974,4-Chlorophenyl methyl sulfone,98-57-7,C7H7ClO2S,189.985528,Inactive,0,0
DTXSID3024100,Ethyl phthalyl ethyl glycolate,84-72-0,C14H16O6,280.094688,Inactive,0,0
DTXSID3024102,Fenamiphos,22224-92-6,C13H22NO3PS,303.105802,Inactive,0,0
DTXSID3024104,Fluoranthene,206-44-0,C16H10,202.07825,Active,0.76585947,1.244129177
DTXSID3024152,Imazaquin,81335-37-7,C17H17N3O3,311.126991,Inactive,0,0
DTXSID3024154,Iprodione,36734-19-7,C13H13Cl2N3O3,329.033397,Inactive,0,0
DTXSID3024235,Flusilazole,85509-19-9,C16H15F2N3Si,315.10033,Active,1.730962757,0.874199583
DTXSID3024239,Oxadiazon,19666-30-9,C15H18Cl2N2O3,344.069448,Inactive,0,0
DTXSID3024287,Imazethapyr,81335-77-5,C15H19N3O3,289.142641,Inactive,0,0
DTXSID3024289,Pyrene,129-00-0,C16H10,202.07825,Inactive,0,0
DTXSID3024316,Tebuthiuron,34014-18-1,C9H16N4OS,228.104482,Inactive,0,0
DTXSID3024318,Terbutryn,886-50-0,C10H19N5S,241.136117,Inactive,0,0
DTXSID3024364,Cresol,1319-77-3,, ,Inactive,0,0
DTXSID3024366,Triethylamine,121-44-8,C6H15N,101.120449,Inactive,0,0
DTXSID3024368,2-[2-(2-Ethoxyethoxy)ethoxy]ethanol,112-50-5,C8H18O4,178.120509,Inactive,0,0
DTXSID3024491,2-Amino-6-nitrobenzothiazole,6285-57-0,C7H5N3O2S,195.010248,Inactive,0,0
DTXSID3024528,Anise oil,8007-70-3,, ,Inactive,0,0
DTXSID3024657,3-Bromo-1-propanol,627-18-9,C3H7BrO,137.968028,Inactive,0,0
DTXSID3024738,Carvyl acetate,97-42-7,C12H18O2,194.13068,Inactive,0,0
DTXSID3024780,2-Chloropropyldimethylamine hydrochloride,4584-49-0,C5H13Cl2N,157.042505,Inactive,0,0
DTXSID3024861,Cresyl diphenyl phosphate,26444-49-5,, ,Active,1.074901877,1.486604133
DTXSID3024869,Cumene hydroperoxide,80-15-9,C9H12O2,152.08373,Inactive,0,0
DTXSID3024940,Dibromoacetonitrile,3252-43-5,C2HBr2N,196.847575,Inactive,0,0
DTXSID3024944,"1,2-Dibromo-2,4-dicyanobutane",35691-65-7,C6H6Br2N2,263.889774,Active,0.795756189,0.997657813
DTXSID3024994,Sodium dichloroisocyanurate,2893-78-9,C3Cl2N3NaO3,218.921441,Inactive,0,0
DTXSID3025047,Diethylene glycol diethyl ether,112-36-7,C8H18O3,162.125594,Inactive,0,0
DTXSID3025049,Diethylene glycol monomethyl ether,111-77-3,C5H12O3,120.078644,Inactive,0,0
DTXSID3025091,C.I. Disperse Black 6,119-90-4,C14H16N2O2,244.121178,Inactive,0,0
DTXSID3025122,Dimethyl glutarate,1119-40-0,C7H12O4,160.073559,Inactive,0,0
DTXSID3025170,"4,4'-Dioctyldiphenylamine",101-67-7,C28H43N,393.33955,Inactive,0,0
DTXSID3025178,"1,3-Diphenylguanidine",102-06-7,C13H13N3,211.110947,Active,1.0121993,0.752096929
DTXSID3025209,C.I. Disperse Blue 27,15791-78-3,C22H16N2O7,420.095751,Inactive,0,0
DTXSID3025253,Ergotamine D-tartrate,379-79-3,C70H76N10O16,1312.544076,Inactive,0,0
DTXSID3025461,Isobutyl methacrylate,97-86-9,C8H14O2,142.09938,Inactive,0,0
DTXSID3025465,Isodecyl diphenyl phosphate,29761-21-5,, ,Active,1.454917898,1.252478633
DTXSID3025469,Isopentyl alcohol,123-51-3,C5H12O,88.088815,Inactive,0,0
DTXSID3025540,Thimerosal,54-64-8,C9H9HgNaO2S,405.992738,Active,1.113965424,1.872991422
DTXSID3025881,"1,2-Phenylenediamine",95-54-5,C6H8N2,108.068748,Inactive,0,0
DTXSID3026065,"C.I. Acid Blue 1, sodium salt",129-17-9,C27H31N2NaO6S2,566.152123,Inactive,0,0
DTXSID3026223,Triethylene glycol diacetate,111-21-7,C10H18O6,234.110338,Inactive,0,0
DTXSID3026302,Sodium xylenesulfonate,1300-72-7,, ,Inactive,0,0
DTXSID3026514,Phthalimide,85-41-6,C8H5NO2,147.032028,Inactive,0,0
DTXSID3026560,3-Hydroxy-2-naphthoic acid,92-70-6,C11H8O3,188.047344,Inactive,0,0
DTXSID3026562,N-(2-Methylphenyl)-3-oxobutanamide,93-68-5,C11H13NO2,191.094629,Inactive,0,0
DTXSID3026564,Triethylene glycol bis(2-ethylhexanoate),94-28-0,C22H42O6,402.298139,Active,0.74856272,0.279835522
DTXSID3026566,"Dimethyl cyclohexane-1,4-dicarboxylate",94-60-0,C10H16O4,200.104859,Inactive,0,0
DTXSID3026641,"1,3-Benzenedicarbonyl dichloride",99-63-8,C8H4Cl2O2,201.958835,Inactive,0,0
DTXSID3026645,p-Cymene,99-87-6,C10H14,134.10955,Inactive,0,0
DTXSID3026647,4-Hydroxybenzoic acid,99-96-7,C7H6O3,138.031694,Inactive,0,0
DTXSID3026691,Triacetin,102-76-1,C9H14O6,218.079038,Inactive,0,0
DTXSID3026697,Bis(2-ethylhexyl) nonanedioate,103-24-2,C25H48O4,412.35526,Inactive,0,0
DTXSID3026726,Citronellol,106-22-9,C10H20O,156.151415,Inactive,0,0
DTXSID3026728,(Z)-Nerol,106-25-2,C10H18O,154.135765,Inactive,0,0
DTXSID3027039,Dipentaerythritol,126-58-9,C10H22O7,254.136553,Inactive,0,0
