PREFERRED NAME,DTXSID,CASRN,MOLECULAR FORMULA,MONOISOTOPIC MASS,PPARg_antagonist_ch1,PPARg_Emax,PPARg_assay
"1,3-Dioxolane",DTXSID4027284,646-06-0,C3H6O2,74.036779,Inactive,0,0
"2,6-Dimethyl-2,4,6-octatriene",DTXSID4027288,673-84-7,C10H16,136.125201,Inactive,0,0
"2,6-Toluenediamine",DTXSID4027319,823-40-5,C7H10N2,122.084398,Inactive,0,0
"3-Hydroxy-2,2-dimethylpropyl 3-hydroxy-2,2-dimethylpropanoate",DTXSID4027361,1115-20-4,C10H20O4,204.136159,Inactive,0,0
1-Tetradecene,DTXSID4027367,1120-36-1,C14H28,196.219101,Inactive,0,0
(3-Chloropropyl)trimethoxysilane,DTXSID4027490,2530-87-2,C6H15ClO3Si,198.047899,Inactive,0,0
"2,3-Diaminotoluene",DTXSID4027494,2687-25-4,C7H10N2,122.084398,Inactive,0,0
"2,4-D sodium salt",DTXSID4027496,2702-72-9,C8H5Cl2NaO3,241.951344,Inactive,0,0
"1,3-Bis(2-isocyanato-2-propyl)benzene",DTXSID4027498,2778-42-9,C14H16N2O2,244.121178,Inactive,0,0
3-Bromobenzaldehyde,DTXSID4027521,3132-99-8,C7H5BrO,183.952378,Inactive,0,0
Potassium 2-ethylhexanoate,DTXSID4027525,3164-85-0,C8H15KO2,182.070911,Inactive,0,0
"1,2,5,6,9,10-Hexabromocyclododecane",DTXSID4027527,3194-55-6,C12H18Br6,635.650879,Inactive,0,0
"2,2-Dimethylpropanoyl chloride",DTXSID4027529,3282-30-2,C5H9ClO,120.034193,Inactive,0,0
3-Hydroxy-2-(hydroxymethyl)-2-methylpropanoic acid,DTXSID4027577,4767/3/7,C5H10O4,134.057909,Inactive,0,0
Pentaethylene glycol,DTXSID4027579,4792-15-8,C10H22O6,238.141638,Inactive,0,0
"4-Amino-5-hydroxy-2,7-naphthalenedisulfonic acid monosodium salt",DTXSID4027600,5460/9/3,C10H8NNaO7S2,340.963988,Inactive,0,0
2-[4-(Diethylamino)-2-hydroxybenzoyl]benzoic acid,DTXSID4027604,5809-23-4,C18H19NO4,313.131408,Inactive,0,0
Terbutylazine,DTXSID4027608,5915-41-3,C9H16ClN5,229.109423,Inactive,0,0
Diallyldimethylammonium chloride,DTXSID4027650,7398-69-8,C8H16ClN,161.097127,Inactive,0,0
Sodium 2-propenoate,DTXSID4027652,7446-81-3,C3H3NaO2,94.003074,Inactive,0,0
2-Ethylhexyl thioglycolate,DTXSID4027656,7659-86-1,C10H20O2S,204.118401,Inactive,0,0
1-Octanesulfonyl chloride,DTXSID4027658,7795-95-1,C8H17ClO2S,212.063779,Inactive,0,0
C.I. Fluorescent Brightener 220,DTXSID4027781,16470-24-9,C40H40N12Na4O16S4,1164.115885,Inactive,0,0
Diethylbenzene,DTXSID4027866,25340-17-4,C10H14,134.10955,Inactive,0,0
tert-Nonanethiol,DTXSID4027868,25360-10-5,, ,Inactive,0,0
1-Hexadecanol,DTXSID4027991,36653-82-4,C16H34O,242.260966,Inactive,0,0
Dichlormid,DTXSID4027997,37764-25-3,C8H11Cl2NO,207.021769,Inactive,0,0
"N-(1-Ethylpropyl)-3,4-xylidine",DTXSID4028040,56038-89-2,C13H21N,191.1674,Inactive,0,0
Benzyl-C12-18-alkyldimethylammonium chlorides,DTXSID4028460,68391-01-5,, ,Inactive,0,0
Triphenyl phosphates isopropylated,DTXSID4028880,68937-41-7,, ,Inactive,0,0
2-Chloro-5-trichloromethylpyridine,DTXSID4028967,69045-78-9,C6H3Cl4N,228.90196,Inactive,0,0
Dipropyleneglycol methyl ether acetate,DTXSID4029062,88917-22-0,, ,Inactive,0,0
2-Methylpentane,DTXSID4029143,107-83-5,C6H14,86.10955,Inactive,0,0
Dimethyl malonate,DTXSID4029145,108-59-8,C5H8O4,132.042259,Inactive,0,0
Methyl hexadecanoate,DTXSID4029149,112-39-0,C17H34O2,270.25588,Inactive,0,0
3-Methylpiperidine,DTXSID4029195,626-56-2,C6H13N,99.104799,Inactive,0,0
6-Amino-3-methylpyridine,DTXSID4029220,1603-41-4,C6H8N2,108.068748,Inactive,0,0
Amino(imino)methanesulfinic acid,DTXSID4029224,1758-73-2,CH4N2O2S,107.999349,Inactive,0,0
Acetylcedrene,DTXSID4029353,32388-55-9,C17H26O,246.198365,Inactive,0,0
1-Methoxy-2-propylamine,DTXSID4029359,37143-54-7,C4H11NO,89.084064,Inactive,0,0
"1,2-Benzenedicarboxylic acid, diundecyl ester, branched and linear",DTXSID4029565,85507-79-5,, ,Inactive,0,0
Potassium persulfate,DTXSID4029690,7727-21-1,K2O8S2,269.830872,Inactive,0,0
Potassium nitrate,DTXSID4029692,7757-79-1,KNO3,100.951524,Inactive,0,0
Sodium persulfate,DTXSID4029698,7775-27-1,Na2O8S2,237.882998,Inactive,0,0
"Benzenesulfonic acid, C10-14-alkyl derivs., sodium salts",DTXSID4029806,69669-44-9,, ,Inactive,0,0
"2,2',4,4',5,5'-Hexabromodiphenyl ether",DTXSID4030047,68631-49-2,C12H4Br6O,637.536243,Inactive,0,0
3-Chloropropionitrile,DTXSID4030336,542-76-7,C3H4ClN,89.003227,Inactive,0,0
4-Chloro-2-nitroaniline,DTXSID4030384,89-63-4,C6H5ClN2O2,172.003955,Inactive,0,0
Galactosamine hydrochloride,DTXSID4031356,1772-03-8,C6H14ClNO5,215.05605,Inactive,0,0
Resveratrol,DTXSID4031980,501-36-0,C14H12O3,228.078644,Inactive,0,0
Difenoconazole,DTXSID4032372,119446-68-3,C19H17Cl2N3O3,405.064697,Inactive,0,0
Difethialone,DTXSID4032374,104653-34-1,C31H23BrO2S,538.060214,Inactive,0,0
Dimethenamid,DTXSID4032376,87674-68-8,C12H18ClNO2S,275.074678,Inactive,0,0
Diphacinone,DTXSID4032378,82-66-6,C23H16O3,340.109944,Inactive,0,0
Formetanate hydrochloride,DTXSID4032405,23422-53-9,C11H16ClN3O2,257.093104,Inactive,0,0
Phorate,DTXSID4032459,298-02-2,C7H17O2PS3,260.01283,Inactive,0,0
Carfentrazone-ethyl,DTXSID4032532,128639-02-1,C15H14Cl2F3N3O3,411.036431,Inactive,0,0
Cyphenothrin,DTXSID4032536,39515-40-7,C24H25NO3,375.183444,Inactive,0,0
Trifloxystrobin,DTXSID4032580,141517-21-7,C20H19F3N2O4,408.129692,Inactive,0,0
Ethoprop,DTXSID4032611,13194-48-4,C8H19O2PS2,242.056409,Inactive,0,0
Fenitrothion,DTXSID4032613,122-14-5,C9H12NO5PS,277.017381,Inactive,0,0
Flumetsulam,DTXSID4032615,98967-40-9,C12H9F2N5O2S,325.044502,Inactive,0,0
Halofenozide,DTXSID4032619,112226-61-6,C18H19ClN2O2,330.113506,Inactive,0,0
Es-fenvalerate,DTXSID4032667,66230-04-4,C25H22ClNO3,419.128821,Inactive,0,0
2-Hydroxyisobutyric acid,DTXSID4032954,594-61-6,C4H8O3,104.047344,Inactive,0,0
Desmethoxyyangonin,DTXSID4033390,15345-89-8,C14H12O3,228.078644,Inactive,0,0
Yangonin,DTXSID4034102,500-62-9,C15H14O4,258.089209,Inactive,0,0
Haloperidol,DTXSID4034150,52-86-8,C21H23ClFNO2,375.140135,Inactive,0,0
5-Heptyldihydro-2(3H)-furanone,DTXSID4034287,104-67-6,C11H20O2,184.14633,Inactive,0,0
Metconazole,DTXSID4034497,125116-23-6,C17H22ClN3O,319.14514,Inactive,0,0
Diclosulam,DTXSID4034528,145701-21-9,C13H10Cl2FN5O3S,404.986544,Inactive,0,0
2-Bromo-4-hydroxyacetophenone,DTXSID4034576,2491-38-5,C8H7BrO2,213.962942,Inactive,0,0
"(2R,6S)-Fenpropimorph",DTXSID4034601,67564-91-4,C20H33NO,303.256215,Inactive,0,0
Fipronil,DTXSID4034609,120068-37-3,C12H4Cl2F6N4OS,435.938706,Inactive,0,0
Hexaconazole,DTXSID4034653,79983-71-4,C14H17Cl2N3O,313.074868,Inactive,0,0
Tebufenozide,DTXSID4034948,112410-23-8,C22H28N2O2,352.215078,Inactive,0,0
Oxypurinol,DTXSID4035209,2465-59-0,C5H4N4O2,152.033425,Inactive,0,0
(E)-4-Tridecen-l-yl acetate,DTXSID4035592,72269-48-8,C15H28O2,240.20893,Inactive,0,0
Methylbenzethonium chloride,DTXSID4035708,25155-18-4,C28H44ClNO2,461.306057,Inactive,0,0
Sodium decyl sulfate,DTXSID4036229,142-87-0,C10H21NaO4S,260.105825,Inactive,0,0
1-Octyl-2-pyrrolidone,DTXSID4036435,2687-94-7,C12H23NO,197.177964,Inactive,0,0
Mibolerone,DTXSID4036489,3704/9/4,C20H30O2,302.22458,Inactive,0,0
5alpha-Androstan-3beta-ol,DTXSID4036514,1224-92-6,C19H32O,276.245316,Inactive,0,0
Omethoate,DTXSID4037580,1113-02-6,C5H12NO4PS,213.022466,Inactive,0,0
Demeton-S-methyl sulfone,DTXSID4037582,17040-19-6,C6H15O5PS2,262.009853,Inactive,0,0
Pentachloroaniline,DTXSID4037584,527-20-8,C6H2Cl5N,262.862988,Inactive,0,0
Promecarb,DTXSID4037617,2631-37-0,C12H17NO2,207.125929,Inactive,0,0
"2,2,4,4,6,6-Hexamethylcyclotrisilazane",DTXSID4037748,1009-93-4,C6H21N3Si3,219.104327,Inactive,0,0
Thiamine nitrate,DTXSID4038762,532-43-4,C12H17N5O4S,327.100125,Inactive,0,0
(3-Isocyanatopropyl)triethoxysilane,DTXSID4038847,24801-88-5,C10H21NO4Si,247.123985,Inactive,0,0
Tetrabromobisphenol A bis(2-hydroxyethyl) ether,DTXSID4038922,4162-45-2,C19H20Br4O4,627.809511,Inactive,0,0
Hexyl salicylate,DTXSID4038924,6259-76-3,C13H18O3,222.125594,Inactive,0,0
Dibenzyl oxalate,DTXSID4038926,7579-36-4,C16H14O4,270.089209,Inactive,0,0
Allyl chloride,DTXSID4039231,107-05-1,C3H5Cl,76.007978,Inactive,0,0
Allyl isovalerate,DTXSID4039233,2835-39-4,C8H14O2,142.09938,Inactive,0,0
"1-Amino-2,4-dibromoanthraquinone",DTXSID4039235,81-49-2,C14H7Br2NO2,378.884354,Inactive,0,0
Fludarabine,DTXSID4039657,21679-14-1,C10H12FN5O4,285.087332,Inactive,0,0
Monobutyl phthalate,DTXSID4040002,131-70-4,C12H14O4,222.089209,Inactive,0,0
Dinobuton,DTXSID4040268,973-21-7,C14H18N2O7,326.111401,Active,34.14393365,2.515236811
Benzyl bromoacetate,DTXSID4040343,5437-45-6,C9H9BrO2,227.978593,Inactive,0,0
Fenazaquin,DTXSID4040476,120928-09-8,C20H22N2O,306.173213,Inactive,0,0
Mebendazole,DTXSID4040682,31431-39-7,C16H13N3O3,295.095691,Inactive,0,0
Naproxen,DTXSID4040686,22204-53-1,C14H14O3,230.094294,Inactive,0,0
Ethyl 2-methylbenzoate,DTXSID4040711,87-24-1,C10H12O2,164.08373,Inactive,0,0
Octyl gallate,DTXSID4040713,1034-01-1,C15H22O5,282.146724,Inactive,0,0
2-Phenoxyethyl acrylate,DTXSID4040715,48145-04-6,C11H12O3,192.078644,Inactive,0,0
"N-(2,4-Dimethylphenyl)-3-oxobutanamide",DTXSID4040719,97-36-9,C12H15NO2,205.110279,Inactive,0,0
Dimethyl maleate,DTXSID4040765,624-48-6,C6H8O4,144.042259,Inactive,0,0
"3,5-Dichlorosalicyl-3,4-dichloroanilide",DTXSID4040767,1154-59-2,C13H7Cl4NO2,348.923089,Inactive,0,0
Dasatinib,DTXSID4040979,302962-49-8,C22H26ClN7O2S,487.155722,Inactive,0,0
Mycophenolic acid,DTXSID4041070,24280-93-1,C17H20O6,320.125988,Inactive,0,0
"2-Amino-4-methoxy-6-methyl-1,3,5-triazine",DTXSID4041230,1668-54-8,C5H8N4O,140.069811,Inactive,0,0
"1,3,5-Triisopropylbenzene",DTXSID4041232,717-74-8,C15H24,204.187801,Inactive,0,0
"1,3,6-Hexanetricarbonitrile",DTXSID4041234,1772-25-4,C9H11N3,161.095297,Inactive,0,0
"1,3-Cyclohexanedimethanamine",DTXSID4041238,2579-20-6,C8H18N2,142.146999,Inactive,0,0
"4-Hydroxy-2,2,6,6-tetramethylpiperidin-1-yl)oxidanyl",DTXSID4041280,2226-96-2,C9H18NO2,172.133754,Inactive,0,0
"2,3,5-Triiodobenzoic acid",DTXSID4041317,88-82-4,C7H3I3O2,499.72671,Inactive,0,0
"2,4-Dichloro-6-nitroaniline",DTXSID4041361,2683-43-4,C6H4Cl2N2O2,205.964983,Inactive,0,0
"2,4-Dichlorophenylacetic acid",DTXSID4041363,19719-28-9,C8H6Cl2O2,203.974485,Inactive,0,0
"2,4-Dinitrophenyl thiocyanate",DTXSID4041367,1594-56-5,C7H3N3O4S,224.984427,Inactive,0,0
2-Methylbutyl isovalerate,DTXSID4041440,2445-77-4,C10H20O2,172.14633,Inactive,0,0
Sodium 2-naphthalenesulfonate,DTXSID4041442,532-02-5,C10H7NaO3S,230.00136,Inactive,0,0
2-Phenylcyclohexanol,DTXSID4041446,1444-64-0,C12H16O,176.120115,Inactive,0,0
3-Methyl-3-penten-2-one,DTXSID4041490,565-62-8,C6H10O,98.073165,Inactive,0,0
3-Phenylhexane,DTXSID4041492,4468-42-2,C12H18,162.140851,Inactive,0,0
Diflufenican,DTXSID4041494,83164-33-4,C19H11F5N2O2,394.074068,Inactive,0,0
4-Morpholinepropanamine,DTXSID4041521,123-00-2,C7H16N2O,144.126263,Inactive,0,0
"2,2,6,6-Tetramethyl-4-piperidone",DTXSID4041527,826-36-8,C9H17NO,155.131014,Inactive,0,0
4'-Sulfamylacetanilide,DTXSID4041529,121-61-9,C8H10N2O3S,214.041213,Inactive,0,0
Triethyl phosphonoacetate,DTXSID4041573,867-13-0,C8H17O5P,224.081361,Inactive,0,0
Diglycolic acid,DTXSID4041575,110-99-6,C4H6O5,134.021523,Inactive,0,0
Amiprofos-methyl,DTXSID4041600,36001-88-4,C11H17N2O4PS,304.064665,Inactive,0,0
n-Amyl butyrate,DTXSID4041604,540-18-1,C9H18O2,158.13068,Inactive,0,0
2-Ethylhexyl benzoate,DTXSID4041654,5444-75-7,C15H22O2,234.16198,Inactive,0,0
"3,5-Dibromo-4-hydroxybenzoic acid",DTXSID4041656,3337-62-0,C7H4Br2O3,293.85272,Inactive,0,0
Chlorthiamid,DTXSID4041783,1918-13-4,C7H5Cl2NS,204.951976,Inactive,0,0
2-sec-Butylcyclohexan-1-one,DTXSID4041818,14765-30-1,C10H18O,154.135765,Inactive,0,0
Fuberidazole,DTXSID4041995,3878-19-1,C11H8N2O,184.063663,Inactive,0,0
Furazolidone,DTXSID4041997,67-45-8,C8H7N3O5,225.03857,Inactive,0,0
Lauryldiethanolamine,DTXSID4042090,1541-67-9,C16H35NO2,273.266779,Inactive,0,0
Levomenol,DTXSID4042094,23089-26-1,C15H26O,222.198365,Inactive,0,0
L-Glucitol,DTXSID4042096,6706-59-8,C6H14O6,182.079038,Inactive,0,0
Mepanipyrim,DTXSID4042121,110235-47-7,C14H13N3,223.110947,Inactive,0,0
Mercury(II) acetate,DTXSID4042123,1600-27-7,C4H6HgO4,319.997252,Inactive,0,0
Phenylmercuric chloride,DTXSID4042129,100-56-1,C6H5ClHg,313.978621,Inactive,0,0
4-Dodecylmorpholine,DTXSID4042171,1541-81-7,C16H33NO,255.256215,Inactive,0,0
1-Dodecyl-2-pyrrolidinone,DTXSID4042206,2687-96-9,C16H31NO,253.240565,Inactive,0,0
N-Methyl-alpha-phenylbenzeneacetamide,DTXSID4042208,954-21-2,C15H15NO,225.115364,Inactive,0,0
4-(Dimethylamino)phenylthiocyanate,DTXSID4042252,7152-80-9,C9H10N2S,178.05647,Inactive,0,0
N-(2-Hydroxyethyl)palmitamide,DTXSID4042254,544-31-0,C18H37NO2,299.282429,Inactive,0,0
Parinol,DTXSID4042256,17781-31-6,C18H13Cl2NO,329.037419,Inactive,0,0
Butyl (2S)-2-hydroxypropanoate,DTXSID4042335,34451-19-9,C7H14O3,146.094294,Inactive,0,0
Propyl propionate,DTXSID4042337,106-36-5,C6H12O2,116.08373,Inactive,0,0
Sodium myristyl sulfate,DTXSID4042416,1191-50-0,C14H29NaO4S,316.168425,Inactive,0,0
Sodium tridecyl sulfate,DTXSID4042418,3026-63-9,C13H27NaO4S,302.152775,Inactive,0,0
Tetraiodoethene,DTXSID4042462,513-92-8,C2I4,531.61788,Active,45.83829595,1.827248224
"3,3-Dimethyl-1-(methylthio)butanone-O-(N-methylcarbamoyl)oxime",DTXSID4042468,39196-18-4,C9H18N2O2S,218.108899,Inactive,0,0
SB 206553 hydrochloride,DTXSID4042622,1197334-04-5,C17H17ClN4O,328.109089,Inactive,0,0
Proflavin hemisulfate,DTXSID4043777,1811-28-5,C26H24N6O4S,516.157974,Active,228.2601361,1.486491953
1-(2-Chloroethyl)pyrrolidine,DTXSID4043850,5050-41-9,C6H12ClN,133.065827,Inactive,0,0
Antimony trichloride,DTXSID4044161,10025-91-9,Cl3Sb,225.81037,Inactive,0,0
4-Morpholinepropanesulfonic acid,DTXSID4044371,1132-61-2,C7H15NO4S,209.072179,Inactive,0,0
Tromethamine hydrochloride,DTXSID4044373,1185-53-1,C4H12ClNO3,157.050571,Inactive,0,0
Glycerol 1-allylether,DTXSID4044375,123-34-2,C6H12O3,132.078644,Inactive,0,0
Gold trichloride,DTXSID4044379,13453-07-1,AuCl3,301.873127,Inactive,0,0
Tetrabutylammonium bromide,DTXSID4044400,1643-19-2,C16H36BrN,321.203113,Inactive,0,0
tert-Butyl 3-oxobutanoate,DTXSID4044402,1694-31-1,C8H14O3,158.094294,Inactive,0,0
2-Hydroxyethyl disulfide,DTXSID4044404,1892-29-1,C4H10O2S2,154.012222,Inactive,0,0
2-Morpholinoethylamine,DTXSID4044408,2038/3/1,C6H14N2O,130.110613,Inactive,0,0
Tripropyl orthoformate,DTXSID4044450,621-76-1,C10H22O3,190.156895,Inactive,0,0
"1,6-Dibromohexane",DTXSID4044452,629-03-8,C6H12Br2,241.930576,Inactive,0,0
Ethyl 4-chloro-3-oxobutanoate,DTXSID4044454,638-07-3,C6H9ClO3,164.024022,Inactive,0,0
Cytosine,DTXSID4044456,71-30-7,C4H5N3O,111.043262,Inactive,0,0
Sodium 2-[4-(2-hydroxyethyl)piperazin-1-yl]ethanesulfonate,DTXSID4044458,75277-39-3,C8H17N2NaO4S,260.080672,Inactive,0,0
"2,2'-Dichlorobiphenyl",DTXSID4044533,13029-08-8,C12H8Cl2,222.000306,Inactive,0,0
Sodium 2-anthraquinonesulfonate,DTXSID4044535,131-08-8,C14H7NaO5S,309.991189,Inactive,0,0
Sodium triisopropyl naphthalene sulfonate,DTXSID4044537,1323-19-9,, ,Inactive,0,0
2-tert-Butyl-4-ethylphenol,DTXSID4044581,96-70-8,C12H18O,178.135765,Inactive,0,0
Dantrolene sodium,DTXSID4044585,14663-23-1,C14H9N4NaO5,336.047064,Inactive,0,0
3-[Ethyl(phenyl)amino]propanenitrile,DTXSID4044587,148-87-8,C11H14N2,174.115698,Inactive,0,0
5-Methoxy-5-oxopentanoic acid,DTXSID4044589,1501-27-5,C6H10O4,146.057909,Inactive,0,0
Tetrabutylphosphonium chloride,DTXSID4044616,2304-30-5,C16H36ClP,294.224316,Inactive,0,0
1-Bromo-3-methoxybenzene,DTXSID4044618,2398-37-0,C7H7BrO,185.968028,Inactive,0,0
"2,2'-Sulfanediyldiethanethiol",DTXSID4044660,3570-55-6,C4H10S3,153.994464,Inactive,0,0
Ethyl octyl sulfide,DTXSID4044662,3698-94-0,C10H22S,174.144222,Inactive,0,0
Todralazine hydrochloride,DTXSID4044664,3778-76-5,C11H13ClN4O2,268.072703,Inactive,0,0
"1,1,2-Trimethyl-1H-benzo[e]indole",DTXSID4044668,41532-84-7,C15H15N,209.120449,Inactive,0,0
6-Aminonaphthalene-2-sulfonic acid,DTXSID4044743,93-00-5,C10H9NO3S,223.030314,Inactive,0,0
"2,2,4,4-Tetramethylcyclobutane-1,3-dione",DTXSID4044745,933-52-8,C8H12O2,140.08373,Inactive,0,0
N-Butylphosphorothioic triamide,DTXSID4044747,94317-64-3,C4H14N3PS,167.064606,Inactive,0,0
Benzyl propanoate,DTXSID4044791,122-63-4,C10H12O2,164.08373,Inactive,0,0
Sodium 3-chloro-2-hydroxypropylsulfonate,DTXSID4044793,126-83-0,C3H6ClNaO4S,195.957302,Inactive,0,0
2-tert-Butylcyclohexanol,DTXSID4044799,13491-79-7,C10H20O,156.151415,Inactive,0,0
Acryloyloxyethyl succinate,DTXSID4044820,50940-49-3,C9H12O6,216.063388,Inactive,0,0
3-Methyl-5-phenylpentan-1-ol,DTXSID4044822,55066-48-3,C12H18O,178.135765,Inactive,0,0
4-Methyl-1-(1-methylethyl)-3-cyclohexen-1-ol,DTXSID4044824,562-74-3,C10H18O,154.135765,Inactive,0,0
"3,7-Dimethyloctanal",DTXSID4044826,5988-91-0,C10H20O,156.151415,Inactive,0,0
Ethyl undec-10-enoate,DTXSID4044828,692-86-4,C13H24O2,212.17763,Inactive,0,0
"Butane-1,4-diyl bis(2-methylprop-2-enoate)",DTXSID4044870,2082-81-7,C12H18O4,226.120509,Inactive,0,0
Bis[4-(glycidyloxy)phenyl]methane,DTXSID4044872,2095/3/6,C19H20O4,312.136159,Active,92.27685219,1.159047168
Ethylene glycol diglycidyl ether,DTXSID4044876,2224-15-9,C8H14O4,174.089209,Inactive,0,0
Propyl benzoate,DTXSID4044878,2315-68-6,C10H12O2,164.08373,Inactive,0,0
Triallyl trimellitate,DTXSID4044901,2694-54-4,C18H18O6,330.110338,Inactive,0,0
Titanium(4+) bis[(2E)-4-oxohex-2-en-2-olate] dipropan-2-olate,DTXSID4044903,27858-32-8,C18H32O8Ti,424.15766,Inactive,0,0
"2,2,6,6-Tetramethyl-4-piperidone 1-nitroxide",DTXSID4044905,2896-70-0,C9H16NO2,170.118104,Inactive,0,0
Dimethoxy(methyl)phenylsilane,DTXSID4044909,3027-21-2,C9H14O2Si,182.076306,Inactive,0,0
2-Hydroxyethyl methacrylate phosphate,DTXSID4044951,52628-03-2,, ,Inactive,0,0
2-(Pyridin-4-yl)ethanol,DTXSID4044953,5344-27-4,C7H9NO,123.068414,Inactive,0,0
Sodium nicotinate,DTXSID4044955,54-86-4,C6H4NNaO2,145.013973,Inactive,0,0
Verazide,DTXSID4045002,93-47-0,C15H15N3O3,285.111341,Inactive,0,0
Cirazoline,DTXSID4045131,59939-16-1,C13H16N2O,216.126263,Inactive,0,0
(-)-Epicatechin,DTXSID4045133,490-46-0,C15H14O6,290.079038,Inactive,0,0
Fenclonine,DTXSID4045139,7424-00-2,C9H10ClNO2,199.040006,Inactive,0,0
Oxatomide,DTXSID4045181,60607-34-3,C27H30N4O,426.241962,Inactive,0,0
5-methyl-1-phenyl-2(1H)-Pyridone,DTXSID4045183,53179-13-8,C12H11NO,185.084064,Inactive,0,0
Propionylpromazine hydrochloride,DTXSID4045187,7681-67-6,C20H25ClN2OS,376.137612,Inactive,0,0
"3,7-Dihydro-3-methyl-1-(5-oxohexyl)-7-propyl-1H-Purine-2,6-dione",DTXSID4045189,55242-55-2,C15H22N4O3,306.169191,Inactive,0,0
Tiapride hydrochloride,DTXSID4045210,51012-33-0,C15H25ClN2O4S,364.122356,Inactive,0,0
Pyrithyldione,DTXSID4045262,1977/4/3,C9H13NO2,167.094629,Inactive,0,0
Meprylcaine hydrochloride,DTXSID4045341,956-03-6,C14H22ClNO2,271.133907,Inactive,0,0
Nifuroxazide,DTXSID4045343,965-52-6,C12H9N3O5,275.05422,Inactive,0,0
Ethambutol dihydrochloride,DTXSID4045345,1070-11-7,C10H26Cl2N2O2,276.137134,Inactive,0,0
Ethopropazine hydrochloride,DTXSID4045347,1094-08-2,C19H25ClN2S,348.142698,Inactive,0,0
Orciprenaline sulfate,DTXSID4045391,5874-97-5,C22H36N2O10S,520.209067,Inactive,0,0
Benoxinate hydrochloride,DTXSID4045393,5987-82-6,C17H29ClN2O3,344.18667,Inactive,0,0
Ornidazole,DTXSID4045420,16773-42-5,C7H10ClN3O3,219.041069,Inactive,0,0
Epirizole,DTXSID4045422,18694-40-1,C11H14N4O2,234.111676,Inactive,0,0
Piromidic acid,DTXSID4045424,19562-30-2,C14H16N4O3,288.12224,Inactive,0,0
Nabumetone,DTXSID4045472,42924-53-8,C15H16O2,228.11503,Inactive,0,0
Rimexolone,DTXSID4045474,49697-38-3,C23H32O4,372.23006,Inactive,0,0
Carteolol hydrochloride,DTXSID4045478,51781-21-6,C16H25ClN2O3,328.15537,Inactive,0,0
Cloxacillin sodium,DTXSID4045551,642-78-4,C19H17ClN3NaO5S,457.047514,Inactive,0,0
Diethylcarbamazine citrate,DTXSID4045555,1642-54-2,C16H29N3O8,391.195465,Inactive,0,0
Oxyphenonium bromide,DTXSID4045632,1950/10/2,C21H34BrNO3,427.172207,Inactive,0,0
Diacerein,DTXSID4045636,13739-02-1,C19H12O8,368.053217,Inactive,0,0
Suloctidil,DTXSID4045638,54767-75-8,C20H35NOS,337.243936,Inactive,0,0
Roquinimex,DTXSID4045680,84088-42-6,C18H16N2O3,308.116092,Inactive,0,0
Pinacidil monohydrate,DTXSID4045682,85371-64-8,C13H21N5O,263.17461,Inactive,0,0
Zacopride hydrochloride,DTXSID4045686,99617-34-2,C15H21Cl2N3O2,345.101082,Inactive,0,0
Ipsapirone,DTXSID4045688,95847-70-4,C19H23N5O3S,401.152161,Inactive,0,0
"L-3,4-Dihydroxyphenylalanine methyl ester hydrochloride",DTXSID4045763,1421-65-4,C10H14ClNO4,247.061136,Inactive,0,0
Eflornithine hydrochloride monohydrate,DTXSID4045765,96020-91-6,C6H15ClF2N2O3,236.073926,Inactive,0,0
Etazolate hydrochloride,DTXSID4045767,35838-58-5,C14H20ClN5O2,325.130553,Inactive,0,0
Eticlopride hydrochloride,DTXSID4045769,97612-24-3,C17H26Cl2N2O3,376.132048,Inactive,0,0
Acriflavine hydrochloride,DTXSID4045848,69235-50-3,, ,Active,176.1912993,1.634243021
Diosmin,DTXSID4045892,520-27-4,C28H32O15,608.17412,Inactive,0,0
Hydrocortisone 17-butyrate,DTXSID4045896,13609-67-1,C25H36O6,432.251189,Inactive,0,0
Sulfanitran,DTXSID4045898,122-16-7,C14H13N3O5S,335.057592,Inactive,0,0
Moxifloxacin hydrochloride,DTXSID4045921,186826-86-8,C21H25ClFN3O4,437.151762,Inactive,0,0
Sibutramine hydrochloride,DTXSID4045927,84485-00-7,C17H27Cl2N,315.152055,Inactive,0,0
Cloxyquin,DTXSID4045973,130-16-5,C9H6ClNO,179.013791,Inactive,0,0
Deracoxib,DTXSID4045975,169590-41-4,C17H14F3N3O3S,397.070797,Inactive,0,0
Pyridoxal,DTXSID4046020,66-72-8,C8H9NO3,167.058243,Inactive,0,0
Clopidogrel hydrogen sulfate,DTXSID4046024,135046-48-9,C16H18ClNO6S2,419.026407,Inactive,0,0
Sildenafil citrate,DTXSID4046076,171599-83-0,C28H38N6O11S,666.231927,Inactive,0,0
Geliomycin,DTXSID4046101,20004-62-0,C22H16O6,376.094688,Active,57.54431232,2.148651815
Vanitiolide,DTXSID4046107,17692-71-6,C12H15NO3S,253.077265,Inactive,0,0
Bumecaine,DTXSID4046109,30103-44-7,C18H28N2O,288.220164,Inactive,0,0
Lonazolac,DTXSID4046151,53808-88-1,C17H13ClN2O2,312.066555,Inactive,0,0
Clofenamide,DTXSID4046153,671-95-4,C6H7ClN2O4S2,269.953577,Inactive,0,0
Fenclozic acid,DTXSID4046157,17969-20-9,C11H8ClNO2S,252.996427,Inactive,0,0
Morphazinamide,DTXSID4046159,952-54-5,C10H14N4O2,222.111676,Inactive,0,0
