PREFERRED NAME,DTXSID,CASRN,MOLECULAR FORMULA,MONOISOTOPIC MASS,PPARg_antagonist_ch1,PPARg_Emax,PPARg_assay
Scopolamine hydrobromide trihydrate,DTXSID0021258,6533-68-2,C17H28BrNO7,437.104915,Inactive,0,0
Tetrakis(hydroxymethyl)phosphonium sulfate,DTXSID0021331,55566-30-8,C8H24O12P2S,406.046371,Inactive,0,0
Tetramethylthiuram monosulfide,DTXSID0021333,97-74-5,C6H12N2S3,208.016262,Inactive,0,0
Thenyldiamine,DTXSID0021335,91-79-2,C14H19N3S,261.129969,Inactive,0,0
Thiabendazole,DTXSID0021337,148-79-8,C10H7N3S,201.036068,Inactive,0,0
Thiotepa,DTXSID0021339,52-24-4,C6H12N3PS,189.048956,Inactive,0,0
"1,1,1-Trichloroethane",DTXSID0021381,71-55-6,C2H3Cl3,131.930033,Inactive,0,0
Trichloroethylene,DTXSID0021383,1979/1/6,C2HCl3,129.914383,Inactive,0,0
Folpet,DTXSID0021385,133-07-3,C9H4Cl3NO2S,294.902833,Active,52.16404871,1.19973149
"2-(2,4,5-Trichlorophenoxy)propionic acid",DTXSID0021387,93-72-1,C9H7Cl3O3,267.946077,Inactive,0,0
Trichlorfon,DTXSID0021389,52-68-6,C4H8Cl3O4P,255.922579,Inactive,0,0
Triprolidine hydrochloride monohydrate,DTXSID0021410,6138-79-0,C19H25ClN2O,332.165541,Inactive,0,0
Tris(2-ethylhexyl) phosphate,DTXSID0021414,78-42-2,C24H51O4P,434.352497,Inactive,0,0
DL-Tryptophan,DTXSID0021418,1954/12/6,C11H12N2O2,204.089878,Inactive,0,0
Zearalenone,DTXSID0021460,17924-92-4,C18H22O5,318.146724,Inactive,0,0
Zinc dibutyldithiocarbamate,DTXSID0021462,136-23-2,C18H36N2S4Zn,472.105276,Inactive,0,0
Ziram,DTXSID0021464,137-30-4,C6H12N2S4Zn,303.917475,Inactive,0,0
1-Chlorooctane,DTXSID0021543,111-85-3,C8H17Cl,148.101878,Inactive,0,0
2-Chloropropanoic acid,DTXSID0021545,598-78-7,C3H5ClO2,107.997807,Inactive,0,0
1-Chloropropan-2-one,DTXSID0021547,78-95-5,C3H5ClO,92.002893,Inactive,0,0
Heptanal,DTXSID0021597,111-71-7,C7H14O,114.104465,Inactive,0,0
Heptanenitrile,DTXSID0021599,629-08-3,C7H13N,111.104799,Inactive,0,0
Isovaleronitrile,DTXSID0021620,625-28-5,C5H9N,83.073499,Inactive,0,0
4-Isopropylbenzyl alcohol,DTXSID0021626,536-60-7,C10H14O,150.104465,Inactive,0,0
Trichloroacetonitrile,DTXSID0021672,545-06-2,C2Cl3N,142.909632,Inactive,0,0
Benzamide,DTXSID0021709,55-21-0,C7H7NO,121.052764,Inactive,0,0
"2,2,2-Trifluoroethanol",DTXSID0021751,75-89-8,C2H3F3O,100.013599,Inactive,0,0
1-Ethynylcyclohexanol,DTXSID0021757,78-27-3,C8H12O,124.088815,Inactive,0,0
2-Methyl-1-propanol,DTXSID0021759,78-83-1,C4H10O,74.073165,Inactive,0,0
"N,N,4-Trimethylaniline",DTXSID0021832,99-97-8,C9H13N,135.104799,Inactive,0,0
4-Nitrophenol,DTXSID0021834,100-02-7,C6H5NO3,139.026943,Inactive,0,0
tert-Octylamine,DTXSID0021886,107-45-9,C8H19N,129.15175,Inactive,0,0
2-Pentanone,DTXSID0021888,107-87-9,C5H10O,86.073165,Inactive,0,0
Diethyl decanedioate,DTXSID0021915,110-40-7,C14H26O4,258.183109,Inactive,0,0
n-Hexane,DTXSID0021917,110-54-3,C6H14,86.10955,Inactive,0,0
Benzophenone,DTXSID0021961,119-61-9,C13H10O,182.073165,Inactive,0,0
"1,2,4-Trichlorobenzene",DTXSID0021965,120-82-1,C6H3Cl3,179.930033,Inactive,0,0
4-Hydroxy-3-methoxybenzaldehyde,DTXSID0021969,121-33-5,C8H8O3,152.047344,Inactive,0,0
cis-Oleyl alcohol,DTXSID0022010,143-28-2,C18H36O,268.276616,Inactive,0,0
Hydroquinone dimethyl ether,DTXSID0022014,150-78-7,C8H10O2,138.06808,Inactive,0,0
"1,4-Diazabicyclo[2.2.2]octane",DTXSID0022016,280-57-9,C6H12N2,112.100048,Inactive,0,0
Disulfoton,DTXSID0022018,298-04-4,C8H19O2PS3,274.02848,Inactive,0,0
2-Nitrobenzaldehyde,DTXSID0022060,552-89-6,C7H5NO3,151.026943,Inactive,0,0
3-Methyl-2-butanone,DTXSID0022062,563-80-4,C5H10O,86.073165,Inactive,0,0
Tetrahydrofurfuryl methacrylate,DTXSID0022191,2455-24-5,C9H14O3,170.094294,Inactive,0,0
Benzyl methacrylate,DTXSID0022193,2495-37-6,C11H12O2,176.08373,Inactive,0,0
"2,3,4,5-Tetrachlorophenol",DTXSID0022220,4901-51-3,C6H2Cl4O,229.885976,Active,67.55130675,1.336362631
Flucythrinate,DTXSID0022301,70124-77-5,C26H23F2NO4,451.159515,Inactive,0,0
4-tert-Butylstyrene,DTXSID0022305,1746-23-2,C12H16,160.125201,Inactive,0,0
Chloromethyl styrene,DTXSID0022307,30030-25-2,, ,Inactive,0,0
"3-Chloro[1,1′-biphenyl]-4-ol",DTXSID0022353,1992/4/6,C12H9ClO,204.034193,Inactive,0,0
Chrysene,DTXSID0022432,218-01-9,C18H12,228.0939,Inactive,0,0
"4,4-Bis(4-hydroxyphenyl)valeric acid",DTXSID0022436,126-00-1,C17H18O4,286.120509,Inactive,0,0
3-Ethylphenol,DTXSID0022480,620-17-7,C8H10O,122.073165,Inactive,0,0
Folic acid,DTXSID0022519,59-30-3,C19H19N7O6,441.139681,Inactive,0,0
Albendazole,DTXSID0022563,54965-21-8,C12H15N3O2S,265.088498,Inactive,0,0
Aztreonam,DTXSID0022640,78110-38-0,C13H17N5O8S2,435.051855,Inactive,0,0
Benactyzine,DTXSID0022644,302-40-9,C20H25NO3,327.183444,Inactive,0,0
Bencyclane,DTXSID0022646,2179-37-5,C19H31NO,289.240565,Inactive,0,0
Bromperidol,DTXSID0022690,10457-90-6,C21H23BrFNO2,419.08962,Inactive,0,0
Candesartan,DTXSID0022725,139481-59-7,C24H20N6O3,440.159689,Inactive,0,0
Celecoxib,DTXSID0022777,169590-42-5,C17H14F3N3O2S,381.075882,Inactive,0,0
Chlorothiazide,DTXSID0022800,58-94-6,C7H6ClN3O4S2,294.948826,Inactive,0,0
Chlorpromazine,DTXSID0022808,50-53-3,C17H19ClN2S,318.095748,Inactive,0,0
Clortermine,DTXSID0022850,10389-73-8,C10H14ClN,183.081477,Inactive,0,0
Cloxazolam,DTXSID0022854,24166-13-0,C17H14Cl2N2O2,348.043233,Inactive,0,0
Cortisone acetate,DTXSID0022858,1950/4/4,C23H30O6,402.204239,Inactive,0,0
Digitoxin,DTXSID0022933,71-63-6,C41H64O13,764.434692,Active,50.02695214,3.549999534
Dihydralazine,DTXSID0022935,484-23-1,C8H10N6,190.096694,Inactive,0,0
Emorfazone,DTXSID0022981,38957-41-4,C11H17N3O3,239.126991,Inactive,0,0
Etizolam,DTXSID0023030,40054-69-1,C17H15ClN4S,342.070595,Inactive,0,0
Etretinate,DTXSID0023036,54350-48-0,C23H30O3,354.219495,Active,80.6130542,1.430625763
Famciclovir,DTXSID0023038,104227-87-4,C14H19N5O4,321.143704,Inactive,0,0
2-Methoxyphenol,DTXSID0023113,1990/5/1,C7H8O2,124.052429,Inactive,0,0
Iopromide,DTXSID0023163,73334-07-3,C18H24I3N3O8,790.86975,Inactive,0,0
Irbesartan,DTXSID0023169,138402-11-6,C25H28N6O,428.23246,Inactive,0,0
Mecamylamine,DTXSID0023240,60-40-2,C11H21N,167.1674,Inactive,0,0
"(2R,3R,4R,5S)-6-(Methylamino)hexane-1,2,3,4,5-pentol",DTXSID0023244,6284-40-8,C7H17NO5,195.110673,Inactive,0,0
Methoxyphenamine,DTXSID0023292,93-30-1,C11H17NO,179.131014,Inactive,0,0
Methylene blue,DTXSID0023296,61-73-4,C16H18ClN3S,319.090997,Inactive,0,0
Methylperone,DTXSID0023298,3575-80-2,C16H22FNO,263.168542,Inactive,0,0
Miglitol,DTXSID0023323,72432-03-2,C8H17NO5,207.110673,Inactive,0,0
Modafinil,DTXSID0023329,68693-11-8,C15H15NO2S,273.08235,Inactive,0,0
Nisoldipine,DTXSID0023371,63675-72-9,C20H24N2O6,388.163437,Inactive,0,0
