INPUT	FOUND_BY	DTXSID	PREFERRED_NAME	CASRN	IUPAC_NAME	DTXCID	INCHIKEY	SMILES	BIOCONCENTRATION_FACTOR	LOGP
DTXSID8052724	DSSTox_Substance_Id	DTXSID8052724	3-Chloro-7-hydroxy-4-methyl-2-benzopyrone	6174-86-3	3-Chloro-7-hydroxy-4-methyl-2H-1-benzopyran-2-one	DTXCID8031314	ODZHLDRQCZXQFQ-UHFFFAOYSA-N	CC1=C(Cl)C(=O)OC2=C1C=CC(O)=C2	 	1.08194
DTXSID9047205	DSSTox_Substance_Id	DTXSID9047205	2-Ethylhexyl trans-4-methoxycinnamate	83834-59-7	2-Ethylhexyl (2E)-3-(4-methoxyphenyl)prop-2-enoate	DTXCID0028119	YBGZDTIWKVFICR-JLHYYAGUSA-N	CCCCC(CC)COC(=O)\C=C\C1=CC=C(OC)C=C1	 	5.19958
DTXSID6047606	DSSTox_Substance_Id	DTXSID6047606	(2E)-3-Phenylprop-2-en-1-yl propanoate	78761-38-3	(2E)-3-Phenylprop-2-en-1-yl propanoate	DTXCID4027606	KGDJMNKPBUNHGY-RMKNXTFCSA-N	CCC(=O)OC\C=C\C1=CC=CC=C1	24.7742	2.9843
DTXSID8051540	DSSTox_Substance_Id	DTXSID8051540	Geranyl propionate	105-90-8	"(2E)-3,7-Dimethylocta-2,6-dien-1-yl propanoate"	DTXCID9030092	BYCHQEILESTMQU-FMIVXFBMSA-N	CCC(=O)OC\C=C(/C)CCC=C(C)C	57.0164	4.37603
DTXSID1047152	DSSTox_Substance_Id	DTXSID1047152	Geranyl butyrate	106-29-6	"(2E)-3,7-Dimethylocta-2,6-dien-1-yl butanoate"	DTXCID9027152	ZSBOMYJPSRFZAL-JLHYYAGUSA-N	CCCC(=O)OC\C=C(/C)CCC=C(C)C	59.2925	4.76427
DTXSID5026049	DSSTox_Substance_Id	DTXSID5026049	cis-Stilbene	645-49-8	"1,1'-[(Z)-Ethene-1,2-diyl]dibenzene"	DTXCID406049	PJANXHGTPQOBST-QXMHVHEDSA-N	C(=C\C1=CC=CC=C1)\C1=CC=CC=C1	606.736	4.80841
DTXSID8026933	DSSTox_Substance_Id	DTXSID8026933	(Z)-9-Octadecenylamine	112-90-3	(9Z)-Octadec-9-en-1-amine	DTXCID506933	QGLWBTPVKHMVHM-KTKRTIGZSA-N	CCCCCCCC\C=C/CCCCCCCCN	119.674	7.62035
DTXSID8047684	DSSTox_Substance_Id	DTXSID8047684	Phenethyl 2-methylcrotonate	55719-85-2	2-Phenylethyl (2E)-2-methylbut-2-enoate	DTXCID6027684	KVMWYGAYARXPOL-QDEBKDIKSA-N	C\C=C(/C)C(=O)OCCC1=CC=CC=C1	 	3.57363
DTXSID9046231	DSSTox_Substance_Id	DTXSID9046231	Bromebric acid	5711-40-0	(2E)-3-Bromo-4-(4-methoxyphenyl)-4-oxobut-2-enoic acid	DTXCID7026231	UPZFHUODAYGHDZ-RMKNXTFCSA-N	COC1=CC=C(C=C1)C(=O)C(\Br)=C/C(O)=O	3.8815	2.6798
DTXSID1046760	DSSTox_Substance_Id	DTXSID1046760	Ethylmorphine	76-58-4	"3-Ethoxy-17-methyl-5alpha-7,8-didehydro-4,5-epoxymorphinan-6alpha-ol"	DTXCID9026760	OGDVEMNWJVYAJL-LEPYJNQMSA-N	[H][C@@]12OC3=C(OCC)C=CC4=C3[C@@]11CCN(C)[C@H](C4)[C@]1([H])C=C[C@@H]2O	108.643	1.64504
