DTXSID,PREFERRED NAME,CASRN,MOLECULAR FORMULA,MONOISOTOPIC MASS,ToxCast Active,ToxCast Total,% ToxCast Active,HIT CALL,TOP,SCALED TOP,AC50,LOGAC50
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021543,1-Chlorooctane,111-85-3,C8H17Cl,148.101878,9,325,3.0,Inactive,-0.0027557810400326583,-0.004659386918328164,100.00000000000001,2
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021626,4-Isopropylbenzyl alcohol,536-60-7,C10H14O,150.104465,6,431,1.0,Inactive,0.0719099116612034,0.12158299111034393,5.946441080382403,0.7742571200844406
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021628,Methyl glyoxal,78-98-8,C3H4O2,72.021129,0,195,0.0,Inactive,0.1322353754633671,0.22357936629352965,100.00000000000001,2
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021759,2-Methyl-1-propanol,78-83-1,C4H10O,74.073165,1,327,0.0,Inactive,0.10369628847249437,0.1753263858663452,0.08000000221069073,-1.0969100010069217
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021888,2-Pentanone,107-87-9,C5H10O,86.073165,3,349,1.0,Inactive,-0.12997141600704598,-0.21975153566360306,0.009000000051239784,-2.0457574880881024
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021915,Diethyl decanedioate,110-40-7,C14H26O4,258.183109,4,427,1.0,Inactive,-0.18831017166409666,-0.3183888479142105,0.2585597588485604,-0.5874390659596089
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021836,"1,4-Dinitrobenzene",100-25-4,C6H4N2O4,168.017107,85,313,27.0,Active,-0.8060398200361473,-1.3628264867819486,40.57101896377755,1.6082159153895272
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021832,"N,N,4-Trimethylaniline",99-97-8,C9H13N,135.104799,11,577,2.0,Inactive,0.0981828144911979,0.16600437944790672,0.22511035819890662,-0.6476045209695861
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021834,4-Nitrophenol,100-02-7,C6H5NO3,139.026943,39,599,7.0,Inactive,0.052282394903799406,0.08839741014792057,100.00000000000001,2
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021965,"1,2,4-Trichlorobenzene",120-82-1,C6H3Cl3,179.930033,26,616,4.0,Inactive,-0.19785790284319266,-0.33453184806892045,100.00000000000001,2
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021969,4-Hydroxy-3-methoxybenzaldehyde,121-33-5,C8H8O3,152.047344,20,590,3.0,Inactive,-0.3220612286193248,-0.5445308802588302,100.00000000000001,2
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021961,Benzophenone,119-61-9,C13H10O,182.073165,21,590,4.0,Inactive,-0.2052499083905934,-0.3470300159013546,0.07683503237695138,-1.1144407213873657
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021963,4-(Diethylamino)benzaldehyde,120-21-8,C11H15NO,177.115364,21,321,7.0,Inactive,-0.01860397880441955,-0.031455015551286186,100.00000000000001,2
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0022305,4-tert-Butylstyrene,1746-23-2,C12H16,160.125201,3,316,1.0,Inactive,0.22560133758422607,0.3814395649825727,100.00000000000001,2
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0022191,Tetrahydrofurfuryl methacrylate,2455-24-5,C9H14O3,170.094294,0,320,0.0,Inactive,0.08375719948972192,0.14161400849669387,100.00000000000001,2
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0022193,Benzyl methacrylate,2495-37-6,C11H12O2,176.083730,3,316,1.0,Inactive,0.32438245324346626,0.5484555330128451,8.526964358529145,0.9307944476993236
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0022307,Chloromethyl styrene,30030-25-2,, ,11,316,3.0,Inactive,-0.5619571896307073,-0.9501393398057296,65.76061749798808,1.8179658826145626
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0022012,3-Methoxyphenol,150-19-6,C7H8O2,124.052429,2,316,1.0,Inactive,0.11828647399538263,0.19999500742000856,100.00000000000001,2
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0022353,"3-Chloro[1,1′-biphenyl]-4-ol",92-04-6,C12H9ClO,204.034193,106,402,26.0,Inactive,-0.6695390541266519,-1.132035334008454,63.189684908053756,1.8006461897834418
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0022014,Hydroquinone dimethyl ether,150-78-7,C8H10O2,138.068080,0,345,0.0,Inactive,0.05223006415065,0.08830893097518931,100.00000000000001,2
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0022301,Flucythrinate,70124-77-5,C26H23F2NO4,451.159515,23,321,7.0,Inactive,0.2269286105059804,0.38368367581679197,0.08000000005824609,-1.096910012691857
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0022016,"1,4-Diazabicyclo[2.2.2]octane",280-57-9,C6H12N2,112.100048,15,321,5.0,Inactive,0.14227597306071188,0.24055568930963947,100.00000000000001,2
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0022018,Disulfoton,298-04-4,C8H19O2PS3,274.028480,51,731,7.0,Inactive,0.16266532734193098,0.2750293609225136,50,1.6989700043360187
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0022062,3-Methyl-2-butanone,563-80-4,C5H10O,86.073165,0,319,0.0,Inactive,0.04743292933389232,0.0801980880286857,100.00000000000001,2
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0022563,Albendazole,54965-21-8,C12H15N3O2S,265.088498,50,319,16.0,Inactive,-0.41020080261639513,-0.69355446816482,1.7339626186392088,0.23903973057173067
https://comptox.epa.gov/dashboard/chemical/details/DTXSID00223797,Dichloromethyl((perfluorohexyl)ethyl)silane,73609-36-6,C9H7Cl2F13Si,459.948648,14,231,6.0,Inactive,-0.13590263791542265,-0.22977985698816814,50,1.6989700043360187
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0022480,3-Ethylphenol,620-17-7,C8H10O,122.073165,5,351,1.0,Inactive,0.13026437920453016,0.22024686851845612,15.866397297538413,1.200478324900891
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0022436,"4,4-Bis(4-hydroxyphenyl)valeric acid",126-00-1,C17H18O4,286.120509,28,507,6.0,Inactive,-0.11346816791066563,-0.1918483687671186,100.00000000000001,2
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0022519,Folic acid,59-30-3,C19H19N7O6,441.139681,17,615,3.0,Inactive,0.24667055803865937,0.4170627326938925,100.00000000000001,2
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0023113,2-Methoxyphenol,90-05-1,C7H8O2,124.052429,2,353,1.0,Inactive,0.07961614551217434,0.1346124461625371,100.00000000000001,2
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0022777,Celecoxib,169590-42-5,C17H14F3N3O2S,381.075882,254,635,40.0,Active,-0.8233253080540489,-1.3920522400539048,13.162664259418126,1.1193438038717027
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0022933,Digitoxin,71-63-6,C41H64O13,764.434692,100,325,31.0,Active,-0.6756700326921716,-1.1424013975344567,0.06000000032319665,-1.221848747276981
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0023244,"(2R,3R,4R,5S)-6-(Methylamino)hexane-1,2,3,4,5-pentol",6284-40-8,C7H17NO5,195.110673,5,316,2.0,Inactive,-0.15572827880580825,-0.2633004199321094,0.09143281286526704,-1.0388979192666372
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0023296,Methylene blue,61-73-4,C16H18ClN3S,319.090997,162,375,43.0,Inactive,-0.4641208037941689,-0.7847206909068783,50.4830380493583,1.7031454826934973
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0023371,Nisoldipine,63675-72-9,C20H24N2O6,388.163437,115,322,36.0,Inactive,-0.779369418757127,-1.3177330207115974,10.000000000000002,1
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0023745,D-Xylose,58-86-6,C5H10O5,150.052823,3,468,1.0,Inactive,0.07958386063963396,0.13455785992706001,100.00000000000001,2
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0023377,Nomifensine,24526-64-5,C16H18N2,238.146999,11,319,3.0,Inactive,0.3902373362448526,0.6598008742817054,9.975803590453399,0.9989478899069346
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0023581,Simvastatin,79902-63-9,C25H38O5,418.271924,219,667,33.0,Inactive,-0.7077930366519879,-1.1967139507647373,10.000000000000002,1
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0023747,"2',3'-Dideoxycytidine",7481-89-2,C9H13N3O3,211.095691,3,318,1.0,Inactive,-0.01967670591654271,-0.033268748427938595,100.00000000000001,2
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0023826,Isophorone diisocyanate,4098-71-9,C12H18N2O2,222.136828,19,612,3.0,Inactive,-0.13751339683998207,-0.23250327693795614,100.00000000000003,2
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0023878,Anthracene,120-12-7,C14H10,178.078250,38,651,6.0,Inactive,-0.062258068469318396,-0.10526396167631792,0.40373321890822456,-0.3939055156503567
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0023901,Bentazone,25057-89-0,C10H12N2O3S,240.056863,16,658,2.0,Active,1.556656573927418,2.631945416389466,50,1.6989700043360187
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0023907,Benzo(b)fluoranthene,205-99-2,C20H12,252.093900,160,624,26.0,Inactive,-0.2984800141729023,-0.5046605130149037,0.19562318841662257,-0.708579666907852
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0023951,Carboxin,5234-68-4,C12H13NO2S,235.066700,69,667,10.0,Inactive,0.2342488944144629,0.39606057898368047,50,1.6989700043360187
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0023955,Chlorimuron-ethyl,90982-32-4,C15H15ClN4O6S,414.040083,8,197,4.0,Inactive,0.12186240517318103,0.2060410781014725,100.00000000000001,2
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0024002,Fenpropathrin,39515-41-8,C22H23NO3,349.167794,115,677,17.0,Active,-1.1362951751784014,-1.9212117355023641,13.142283708350927,1.1186708382647341
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0024052,Dimethipin,55290-64-7,C6H10O4S2,210.002051,94,608,15.0,Inactive,0.23421311969553527,0.3960000922269473,15.369529957468096,1.1866605857821546
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0024000,Chlorthal-dimethyl,1861-32-1,C10H6Cl4O4,329.902019,28,592,5.0,Inactive,-0.47156228248400917,-0.797302506354759,100.00000000000001,2
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0024266,Pirimiphos-methyl,29232-93-7,C11H20N3O3PS,305.096300,138,716,19.0,Active,-1.171675762420678,-1.9810321069196368,35.524964502753214,1.5505336526440927
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0024183,Methyl acrylate,96-33-3,C4H6O2,86.036779,0,319,0.0,Inactive,0.046868638158665606,0.07924400246028065,100.00000000000001,2
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0024216,Nitrapyrin,1929-82-4,C6H3Cl4N,228.901960,20,638,3.0,Inactive,-0.18696340023047575,-0.3161117696163945,0.5582394734562663,-0.2531794575318662
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0024345,Triasulfuron,82097-50-5,C14H16ClN5O5S,401.056067,12,501,2.0,Active,1.2251626753460259,2.0714660778214653,9.854719807690568,0.993644280801789
